@relation 'qpid-weka.filters.unsupervised.attribute.Remove-V-R5,6,7,last'

@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,7}


@data
1,341,15,0
1,184,4,7
0,318,18,7
0,75,1,7
0,207,7,7
3,233,9,7
30,297,29,7
1,338,8,7
0,217,9,7
1,194,9,7
8,330,39,7
2,56,1,7
4,328,6,7
3,296,10,0
141,149,6,7
1,308,33,7
63,364,108,7
0,90,1,0
5,335,11,0
1,321,5,7
0,176,27,7
0,300,7,7
15,111,29,7
0,238,8,7
0,246,2,7
0,83,6,7
2,227,14,7
0,168,34,7
159,269,21,0
0,88,25,7
0,187,31,7
1,311,5,7
3,302,17,7
239,331,47,7
1,199,8,7
20,350,82,0
0,339,8,7
16,338,34,7
3,265,11,7
86,282,26,7
0,344,10,7
0,328,6,0
2,371,9,7
3,285,23,0
10,266,14,7
2,191,2,7
50,304,8,7
0,221,5,7
0,214,14,7
0,297,21,7
2,77,1,7
0,280,7,7
0,242,2,7
2,273,12,7
0,279,82,7
1,321,96,0
23,342,89,7
0,25,1,7
0,315,19,7
2,252,8,7
3,266,14,7
1,319,7,7
0,256,9,7
0,138,6,7
3,195,3,7
0,228,6,7
1,222,8,0
0,82,1,7
7,318,54,7
0,192,6,7
4,290,13,7
0,188,1,7
0,328,5,7
0,340,9,7
0,308,31,7
17,303,31,7
0,304,10,7
1,267,14,7
6,296,18,0
2,358,27,7
0,277,23,7
0,290,19,7
0,300,11,7
0,164,6,7
0,165,5,7
1,280,18,7
0,304,9,7
0,334,12,7
0,181,20,7
0,219,7,7
4,308,5,7
0,300,9,7
11,97,28,0
4,171,29,7
4,316,37,0
0,283,11,7
0,197,12,7
1,291,22,7
0,215,32,7
0,195,11,7
0,260,13,7
0,188,10,7
0,189,4,7
3,335,34,7
1,303,56,7
2,338,19,7
0,188,5,7
0,218,4,7
2,122,3,7
0,264,21,7
36,329,91,0
5,338,28,7
1,47,1,7
0,194,6,7
4,189,1,7
36,318,97,0
0,149,7,7
0,217,9,7
0,162,1,7
54,363,105,7
4,306,28,7
15,308,32,7
11,307,31,7
0,119,15,7
0,241,18,7
59,316,16,7
1,272,10,7
3,192,4,7
3,343,11,7
0,98,5,7
0,154,5,7
2,301,20,7
142,176,27,7
6,207,5,7
1,353,127,7
6,277,12,7
0,299,30,7
0,193,1,0
0,149,5,7
7,149,8,7
2,259,12,0
12,286,21,7
0,107,4,7
3,328,84,7
1,93,6,7
0,79,1,7
10,253,20,7
0,182,15,7
0,183,6,7
0,197,7,7
31,302,49,7
0,176,4,0
0,205,7,7
1,258,9,7
0,158,21,7
0,17,1,7
0,224,9,7
19,132,31,7
1,89,3,0
0,260,9,7
0,188,5,7
0,204,7,7
1,320,36,7
54,363,113,7
3,264,15,7
1,298,25,7
0,279,12,7
1,153,2,7
0,363,10,7
58,310,27,7
2,236,17,7
58,312,28,7
2,305,7,7
0,416,36,0
36,305,6,7
1,270,12,7
1,155,2,7
0,177,8,7
3,287,11,7
83,267,19,7
30,308,27,7
0,161,7,7
40,337,90,7
0,206,6,7
0,235,7,7
0,192,4,7
0,298,20,7
6,361,23,7
0,363,23,7
0,146,6,7
0,299,10,7
1,280,39,7
31,333,28,7
13,352,93,7
141,148,6,7
0,171,1,7
2,218,14,7
2,376,9,7
1,166,5,7
5,284,24,7
0,341,18,7
1,356,113,7
0,165,7,7
3,351,81,7
12,315,30,7
2,198,5,7
0,222,13,0
3,333,36,7
0,242,9,7
0,132,8,7
0,247,2,7
9,279,39,7
1,339,12,7
0,189,4,7
0,207,9,7
0,366,26,7
1,190,6,7
0,364,10,7
1,311,55,7
7,221,13,7
0,148,13,7
0,292,19,0
2,215,9,0
91,302,8,7
14,306,44,7
2,287,11,7
14,140,29,7
0,181,7,7
0,116,2,7
1,273,51,7
0,203,7,7
1,259,13,7
12,313,33,7
3,243,8,7
2,198,5,7
0,188,31,7
9,316,32,7
12,330,45,7
0,179,6,7
54,353,96,7
29,353,95,7
0,158,5,7
2,335,6,7
6,301,11,7
0,216,14,7
0,339,19,7
0,203,2,7
2,206,7,7
0,353,127,7
0,169,6,7
0,149,22,7
5,187,6,7
2,248,35,7
0,328,27,0
1,300,57,7
0,342,16,7
2,299,24,7
0,174,1,7
