@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,90}


@data
0,107,0,307,2,90
0,646,0,896,123,0
0,81,0,171,0,0
0,777,0,1019,298,0
0,689,0,953,7,0
3,529,1,836,2,0
2,407,0,641,33,0
3,500,1,819,2,0
0,772,0,1031,1,0
0,707,0,945,123,0
0,466,0,724,15,0
0,810,0,1059,327,0
0,759,0,1042,216,0
0,411,0,641,22,0
0,449,0,641,1,0
3,529,0,834,1,0
0,405,0,652,5,0
3,499,1,811,2,0
0,333,0,534,0,0
0,351,0,532,19,0
0,461,0,757,6,0
0,520,0,834,0,0
0,707,0,944,123,0
2,416,0,656,15,0
0,111,0,235,0,0
0,657,0,898,130,0
0,755,1,1006,164,0
0,599,2,852,26,90
16,760,35,1044,216,90
0,116,0,195,1,90
0,580,0,841,2,0
121,793,1,1080,1,0
0,498,1,808,6,0
0,127,0,218,1,0
0,95,0,172,0,90
0,123,6,329,0,90
0,34,0,86,0,90
0,122,0,212,0,90
0,529,1,816,4,90
0,482,0,790,3,90
0,741,6,985,142,90
0,562,0,818,2,0
0,108,0,215,0,90
0,11,0,15,0,90
0,542,2,837,4,90
0,844,0,1094,1,0
0,387,0,658,4,0
0,768,10,1054,213,90
0,438,0,647,1,0
0,559,4,812,29,90
0,146,0,270,0,90
44,58,0,170,0,90
0,522,0,769,2,90
0,121,0,197,0,0
42,779,9,1058,197,90
0,590,2,853,16,90
0,125,0,210,39,90
0,563,0,818,2,0
0,750,0,1033,1,0
0,546,8,834,8,90
0,633,8,917,12,90
0,469,0,819,3,90
0,773,6,1047,220,90
0,487,1,827,2,90
0,500,2,870,0,90
0,497,2,851,0,90
35,691,0,949,10,0
0,527,1,811,4,90
0,210,0,461,0,90
0,450,2,645,1,90
52,138,0,219,0,90
0,112,0,205,0,90
0,741,10,987,141,90
19,386,2,634,1,90
0,82,0,154,0,90
52,138,0,230,0,90
0,149,0,325,5,0
0,154,42,398,0,90
0,128,0,211,0,90
0,668,21,911,79,90
0,116,0,239,2,90
0,224,0,469,0,90
0,514,2,804,3,90
0,390,1,667,7,0
0,121,0,211,0,0
0,351,0,541,1,0
0,283,7,505,0,0
0,798,1,1079,1,0
0,98,0,177,0,90
0,393,1,722,7,0
0,652,5,895,132,90
0,456,1,795,3,90
0,333,0,540,1,0
0,96,0,149,1,90
0,52,0,134,0,90
0,654,34,867,143,90
0,781,10,1042,199,90
0,460,1,806,3,90
0,489,1,838,0,90
0,128,0,203,0,90
0,545,10,829,8,90
0,141,0,260,0,90
0,628,0,885,49,90
0,126,1,218,1,0
0,34,0,91,0,90
0,402,0,640,1,90
0,149,0,325,5,0
0,686,10,927,91,90
0,509,1,823,4,0
0,283,0,506,0,0
0,106,0,232,1,90
0,283,0,502,33,90
0,111,0,191,0,90
0,596,17,853,20,90
0,126,0,197,0,0
0,113,0,265,2,90
0,727,0,1027,1,0
0,683,10,925,90,90
0,146,0,297,0,90
0,76,0,159,0,90
0,157,0,310,6,90
0,122,0,211,0,90
0,797,0,1076,1,0
0,497,2,857,0,90
0,62,0,173,0,90
0,124,0,213,0,90
0,114,0,232,0,90
0,121,0,194,0,0
0,105,0,218,0,90
0,764,0,1034,1,90
0,122,0,236,0,90
0,554,0,798,4,0
0,724,0,1024,1,0
0,265,0,502,18,90
0,103,0,164,1,90
0,670,0,949,10,90
0,501,2,848,2,90
0,125,0,199,0,0
0,128,0,218,0,90
0,349,0,590,6,90
0,124,0,307,0,90
0,547,0,792,28,90
0,167,4,313,42,90
0,399,0,569,1,0
0,810,0,1077,1,0
0,426,1,668,5,0
0,759,1,1036,1,90
54,117,0,199,1,90
0,497,0,847,0,90
0,498,3,841,0,90
0,720,1,1012,1,90
0,264,7,534,129,90
0,756,18,1009,165,90
0,521,1,820,3,90
0,300,0,517,0,0
0,21,0,30,0,90
73,94,0,210,0,90
0,351,0,540,1,90
0,158,42,307,43,90
0,137,0,297,0,0
0,137,0,215,0,90
0,153,0,347,4,0
0,587,0,839,27,0
0,120,10,278,2,90
0,122,0,212,0,90
0,107,0,226,14,90
0,54,0,151,0,90
0,103,0,214,0,90
0,455,0,639,1,90
0,565,4,803,4,90
0,544,0,837,5,90
0,151,0,305,10,90
0,567,9,823,27,90
0,80,0,160,0,90
0,561,10,831,8,90
0,363,0,596,1,90
0,130,0,207,0,90
0,284,4,507,0,90
0,132,0,194,0,90
0,117,0,218,1,0
0,172,0,337,0,90
0,133,0,248,0,90
53,467,0,659,1,90
0,718,0,986,4,0
0,150,19,310,10,0
0,555,0,791,29,0
0,507,1,841,0,90
0,548,3,831,8,90
0,81,0,154,0,90
0,594,1,845,26,90
0,112,0,237,2,90
0,291,0,521,44,90
0,747,14,1022,185,90
0,113,0,311,2,90
0,391,0,628,6,90
0,507,3,843,0,90
0,358,5,597,6,90
0,560,15,811,5,90
0,139,0,243,0,90
0,166,2,328,0,90
0,61,0,170,0,90
0,523,0,770,2,0
0,499,1,842,0,90
0,492,1,811,3,90
0,749,35,973,241,90
0,126,0,201,0,90
0,96,0,151,1,90
0,74,0,170,0,90
0,804,0,1081,1,0
0,811,9,1050,321,90
0,83,0,153,0,90
0,771,12,1047,208,90
0,760,2,1042,222,90
0,128,0,311,0,0
0,237,0,484,0,0
0,147,0,332,5,90
0,765,6,1025,195,90
0,639,0,947,2,0
0,145,0,383,0,0
0,837,0,1092,1,0
0,414,0,661,5,90
0,399,1,564,20,90
43,86,0,162,1,90
0,101,0,205,0,90
0,92,0,224,0,90
31,119,0,207,0,90
0,76,0,157,0,90
0,109,10,311,1,90
0,560,0,793,4,0
0,451,0,694,1,0
0,90,0,195,3,90
0,118,0,223,1,90
0,112,2,236,1,90
0,400,4,711,7,0
0,81,0,172,0,90
0,692,0,977,1,0
0,473,2,805,2,90
0,111,0,235,0,90
0,127,0,303,0,90
0,543,10,837,5,90
0,33,0,77,0,90
0,69,0,157,0,90
0,385,0,631,6,90
0,755,1,1028,1,90
0,511,1,809,3,90
0,424,0,660,1,90
0,484,2,842,0,90
0,710,0,1006,3,90
0,148,1,387,0,90
0,168,25,316,38,90
0,500,2,813,5,0
0,421,3,660,3,90
0,291,0,529,52,90
0,132,0,215,0,90
0,746,0,1013,179,90
0,476,1,707,1,90
0,610,0,853,19,0
0,160,0,272,0,90
0,98,0,219,2,90
0,128,0,187,0,90
0,377,0,543,20,90
0,657,2,945,12,90
0,89,0,153,1,90
0,352,0,545,1,90
0,66,0,161,0,90
0,104,0,230,0,90
0,107,0,188,0,90
0,366,0,609,1,90
0,126,0,197,0,0
0,264,2,494,18,90
0,118,0,344,0,90
0,771,0,1062,1,0
0,691,0,946,10,0
0,687,2,982,1,0
0,740,15,999,155,90
0,241,0,488,0,90
0,558,0,817,2,0
0,125,14,207,37,90
0,53,0,143,0,90
0,475,0,791,3,90
61,158,0,269,0,90
48,138,0,245,0,90
0,85,0,149,0,90
0,612,0,837,62,90
0,327,0,532,0,0
0,825,0,1082,1,0
0,783,10,1043,201,90
0,559,0,797,29,0
0,801,0,1075,1,0
14,294,31,545,98,90
0,460,1,718,4,0
0,764,5,1051,213,90
0,126,1,298,2,90
0,500,1,831,3,0
0,550,0,833,7,90
0,491,2,703,1,0
0,744,0,1012,154,90
0,92,15,214,0,90
0,131,0,197,0,90
0,560,0,813,29,90
0,300,3,496,16,90
0,770,2,1046,208,90
0,82,0,153,0,90
0,87,0,155,0,90
0,668,12,912,79,90
0,107,0,219,0,90
21,362,1,601,1,90
32,609,1,867,23,0
0,666,0,914,71,90
0,167,0,332,0,90
0,80,0,167,0,90
0,139,0,280,0,90
0,142,0,247,0,90
0,127,0,217,1,0
0,818,0,1081,1,0
0,472,0,690,1,90
0,126,0,211,43,90
