@relation 'kafka-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7,last'

@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,14}


@data
105,1,247,20,14
325,4,925,348,0
386,21,896,396,0
103,0,268,21,14
340,39,925,371,0
399,47,927,409,14
341,31,867,357,0
348,19,824,359,0
325,0,847,335,14
281,6,752,301,0
121,0,293,41,14
353,21,829,364,0
278,43,771,302,0
316,6,802,330,0
358,33,895,377,0
146,7,402,88,14
307,28,805,314,0
299,1,775,314,14
300,36,771,314,0
371,0,960,393,0
163,23,482,129,0
364,0,860,374,14
353,4,887,369,14
161,16,477,128,0
276,25,746,293,0
305,50,802,312,0
145,3,416,97,14
315,9,801,328,0
292,6,763,305,0
270,10,743,292,14
279,43,757,302,0
190,2,559,179,0
104,3,248,20,14
371,30,888,388,0
354,9,941,384,0
343,32,864,357,0
150,9,446,116,14
350,34,886,368,0
332,0,904,363,0
153,15,454,119,0
344,19,918,379,0
381,18,908,397,0
73,0,138,11,14
371,0,948,393,0
337,1,903,368,0
396,31,919,408,14
340,34,869,356,0
325,9,800,336,0
374,41,890,385,0
338,0,900,351,0
305,27,801,312,0
339,23,908,371,0
157,21,462,124,0
273,0,748,297,0
309,35,786,321,0
42,0,118,3,14
364,16,868,378,0
127,7,311,52,0
190,3,546,174,0
335,16,919,363,0
348,18,824,359,0
399,0,929,408,0
381,44,896,390,0
286,27,788,300,0
373,3,885,389,14
184,4,542,173,0
305,21,764,320,0
279,33,752,301,0
277,5,746,294,0
213,5,581,210,0
186,2,538,169,14
291,0,799,302,0
338,61,895,351,0
136,1,420,98,0
282,23,751,301,0
288,19,791,303,0
102,3,252,18,14
399,3,927,412,14
365,27,879,380,14
312,33,794,324,14
106,1,251,21,0
295,35,747,307,0
283,10,756,302,0
208,19,580,205,0
347,12,813,354,0
155,9,457,122,0
334,6,807,347,0
335,0,902,357,14
360,40,835,367,0
155,9,456,122,0
289,19,762,300,0
390,44,898,400,0
210,4,567,201,0
386,0,903,398,0
323,10,824,331,0
155,6,455,122,0
374,4,892,385,0
357,51,939,386,0
322,0,923,345,0
376,15,891,387,0
103,0,273,23,0
330,35,804,342,0
75,0,141,9,0
338,16,892,351,14
108,0,279,28,14
368,27,896,383,0
239,2,629,243,0
378,9,893,390,0
140,1,433,106,14
288,36,792,303,0
171,8,509,152,0
365,28,883,381,0
164,0,491,132,0
347,40,819,355,0
337,34,871,357,0
281,2,773,305,0
133,0,337,61,0
146,1,393,84,0
302,29,758,315,0
354,39,924,386,0
111,0,285,29,0
257,17,667,262,0
136,0,419,97,0
340,0,907,358,0
313,8,795,325,14
268,28,677,272,0
355,1,884,371,0
328,11,916,354,0
270,1,744,297,14
123,0,205,16,0
133,4,341,61,0
276,0,751,296,0
68,0,147,11,0
325,7,845,335,0
103,9,274,23,14
324,1,831,331,0
119,1,266,9,0
136,3,422,100,14
347,10,815,354,0
205,18,583,196,0
178,28,522,161,0
120,0,262,9,0
361,3,941,391,0
260,16,674,265,0
147,12,446,113,0
374,3,890,391,0
350,25,827,361,0
256,25,656,260,0
357,1,830,364,0
288,27,772,301,0
273,41,752,296,0
369,29,945,396,0
338,34,868,355,0
329,29,916,348,0
71,0,142,9,14
349,19,826,360,0
280,20,701,285,0
395,0,925,407,0
154,6,456,120,0
360,42,854,370,0
175,15,519,158,0
353,50,922,385,0
260,9,675,265,0
366,3,894,384,0
226,8,595,227,0
310,36,793,323,0
277,21,747,294,0
102,2,244,15,0
378,18,895,390,0
311,1,813,318,0
212,27,580,209,0
365,43,861,375,0
286,3,766,298,14
273,37,755,297,0
336,35,817,349,0
270,9,689,275,0
338,3,904,351,0
330,1,918,354,0
295,47,741,306,0
292,19,728,301,0
165,9,487,132,14
347,8,878,363,0
147,2,395,84,14
360,16,846,370,14
338,34,893,367,0
229,8,600,229,0
372,46,894,384,0
270,36,687,275,0
309,51,801,314,0
288,41,756,299,0
287,44,795,303,0
164,0,493,132,0
330,25,868,343,0
127,2,312,52,0
104,6,239,14,0
381,29,901,394,0
336,13,905,370,0
348,38,922,383,0
371,41,889,388,0
392,2,929,406,0
329,3,916,348,0
177,8,524,162,0
186,4,539,169,0
273,6,747,293,14
375,11,896,386,0
276,39,759,300,0
354,0,829,364,0
240,0,615,241,14
356,51,836,364,0
294,13,736,305,0
309,37,807,314,0
357,52,943,390,0
329,58,865,342,0
337,34,870,357,0
176,3,522,161,0
293,0,789,307,0
319,24,787,329,0
328,9,911,347,14
149,1,417,93,14
148,8,397,87,14
349,34,875,363,0
304,48,760,317,0
240,8,622,239,14
245,26,637,249,0
202,9,579,193,0
61,0,114,19,0
325,4,924,348,0
374,39,889,382,0
338,3,894,351,14
123,1,306,46,0
347,3,811,355,0
233,10,607,233,0
147,0,397,84,14
370,0,891,386,0
306,15,771,321,0
375,27,895,386,0
355,0,828,364,0
335,38,918,363,0
219,9,587,217,0
145,0,417,97,0
330,8,915,348,0
60,0,144,10,0
233,1,609,234,0
246,23,640,251,0
184,4,547,174,0
337,18,898,367,0
117,2,296,37,0
337,15,909,371,0
366,0,862,376,0
273,0,744,295,14
399,0,929,408,0
314,22,808,319,0
257,17,660,261,0
332,39,878,345,0
368,5,892,383,0
338,0,898,371,0
314,6,809,319,0
336,0,892,364,0
110,5,282,29,0
371,18,883,381,0
325,16,795,336,0
384,19,900,394,0
343,58,896,357,0
339,19,820,352,0
192,11,558,181,14
329,8,912,348,0
366,23,867,377,0
305,11,804,312,0
58,0,115,19,0
329,0,864,342,0
374,29,894,390,0
161,4,480,128,0
107,7,244,15,14
102,0,260,10,14
204,7,579,195,14
102,0,267,21,0
340,32,870,356,0
309,20,806,316,0
282,42,707,290,0
308,49,779,319,0
344,49,915,379,0
146,17,392,82,0
282,0,751,303,0
164,24,486,132,0
341,0,908,374,0
329,1,864,342,0
309,7,781,325,0
273,4,739,292,0
116,0,266,7,0
386,47,895,396,0
343,28,873,362,14
322,16,791,333,0
306,50,773,321,0
354,25,890,373,0
385,27,889,394,0
136,2,421,99,0
251,13,653,254,0
193,10,561,182,0
343,0,883,353,14
183,4,527,165,0
251,30,642,250,0
331,10,918,356,0
358,10,844,367,14
357,49,893,376,0
171,27,511,152,0
65,0,117,22,0
337,2,891,350,0
237,14,617,237,0
315,30,817,330,0
282,4,703,288,0
287,36,799,301,0
339,25,867,355,0
381,0,907,397,0
338,1,903,355,0
118,0,294,42,14
343,19,911,378,0
237,12,613,238,0
347,24,816,354,0
366,0,898,382,0
295,2,748,307,0
317,30,816,331,0
341,27,870,357,0
288,21,762,305,0
133,7,343,61,14
375,2,902,393,0
365,44,885,381,0
282,0,753,300,0
293,11,784,307,14
197,24,574,187,0
287,42,755,299,0
343,7,884,353,0
332,7,914,352,0
273,6,741,292,0
286,14,719,296,14
272,38,749,292,0
392,0,899,402,0
383,19,899,393,0
367,0,890,385,0
336,38,907,359,0
335,25,807,346,0
186,4,537,169,0
289,7,780,302,0
140,4,427,105,0
289,14,726,299,0
270,40,745,296,0
279,24,764,302,0
103,8,245,17,0
343,2,912,376,0
351,7,939,382,0
161,0,479,128,0
294,19,799,305,14
341,1,927,372,0
87,0,180,12,0
277,5,744,293,0
271,0,752,297,0
272,6,749,293,0
140,5,436,106,0
128,4,314,56,0
185,8,549,175,14
308,0,781,319,0
357,23,888,379,0
287,5,770,299,0
130,0,316,55,14
379,44,902,395,0
312,7,804,312,0
78,0,190,5,0
138,6,369,69,0
293,8,731,305,0
130,0,317,55,0
78,0,128,17,14
350,50,924,384,0
292,3,767,307,0
352,13,887,370,0
352,3,940,382,0
290,21,766,302,0
278,0,747,293,0
353,24,924,384,0
288,35,789,302,0
133,0,347,62,0
83,0,184,10,14
139,12,366,71,0
68,0,185,6,14
289,7,784,301,0
339,12,894,358,0
339,31,868,355,0
327,0,851,339,14
105,4,276,25,0
284,35,762,297,0
360,13,835,367,0
396,0,912,408,0
309,10,806,314,0
325,39,836,335,0
363,57,947,384,0
269,12,679,273,0
358,0,846,368,14
84,0,123,10,0
323,23,803,336,0
336,53,814,349,0
164,17,488,132,0
157,21,461,124,0
328,6,855,341,0
396,12,914,408,14
203,8,580,194,0
211,2,577,203,0
329,32,917,348,0
167,3,498,142,0
305,10,761,318,0
210,3,582,201,0
317,54,811,322,0
305,21,765,320,0
147,1,394,84,14
336,0,897,366,0
330,11,869,343,14
292,7,765,307,0
93,0,221,7,0
103,0,246,15,14
97,0,233,6,0
238,2,620,240,0
333,11,878,347,0
150,13,450,116,0
184,3,543,172,0
363,30,886,378,0
379,0,897,386,0
129,0,315,54,0
352,38,936,382,0
330,12,804,342,0
311,51,811,318,0
377,40,890,383,0
380,44,906,396,0
327,34,915,351,0
276,25,751,296,0
348,0,825,359,14
128,4,317,55,0
399,3,931,412,0
343,62,893,356,0
287,0,790,302,0
351,45,885,368,0
179,4,524,162,0
346,49,921,380,0
287,6,771,300,0
61,0,115,19,14
399,24,933,409,0
136,5,360,67,0
368,17,900,386,0
273,36,738,292,0
205,18,579,195,0
353,43,890,369,0
364,8,861,374,0
375,13,900,387,14
318,51,821,334,0
366,56,942,394,0
287,8,754,296,0
295,14,748,307,0
361,6,841,369,0
360,14,887,379,14
299,1,774,313,0
334,11,808,347,0
247,12,640,252,0
358,28,938,387,0
292,7,727,301,0
273,1,755,297,0
205,8,582,197,0
387,11,900,398,0
377,18,897,393,0
330,0,907,349,0
329,58,862,341,0
129,0,314,54,0
340,13,908,358,14
386,11,904,399,0
354,58,930,374,0
327,7,899,349,14
364,54,949,395,0
128,14,317,55,14
289,36,782,301,0
254,14,652,254,0
239,1,628,242,0
291,1,762,304,0
323,23,827,331,14
198,20,578,189,0
150,0,415,92,0
287,0,799,302,14
355,8,829,364,14
330,40,876,344,0
301,9,757,314,0
329,40,866,342,0
270,1,743,297,0
103,0,176,14,14
283,10,778,307,14
347,15,876,364,0
121,12,292,41,0
185,18,536,169,0
328,33,913,347,0
357,1,943,390,0
325,2,928,348,0
359,40,833,366,0
324,0,826,330,0
237,5,618,237,0
337,58,888,347,0
331,0,878,345,0
325,15,923,348,0
121,3,294,41,14
367,11,946,394,0
384,46,900,396,0
193,0,557,180,14
380,41,908,396,0
291,34,727,301,0
140,0,432,105,0
373,30,886,391,0
147,0,398,84,0
293,10,732,305,0
145,1,376,79,0
340,40,889,355,0
340,1,865,358,0
275,32,695,280,0
280,17,700,285,0
367,0,884,383,14
284,35,761,297,0
117,11,299,37,0
285,7,763,298,0
329,8,913,348,0
251,30,640,250,0
334,12,916,362,0
345,7,823,358,0
245,22,640,250,0
256,31,663,261,0
164,1,485,130,14
168,0,502,147,0
396,46,906,406,0
282,18,706,290,0
273,7,757,297,0
320,10,819,335,0
365,28,880,380,0
164,0,489,132,14
370,18,902,388,14
282,38,749,302,14
364,26,860,374,0
289,5,785,301,14
257,26,658,261,0
246,13,640,251,0
237,12,612,238,0
340,6,896,359,0
352,1,926,382,0
77,0,129,27,14
358,30,896,377,0
266,26,679,271,0
366,56,945,397,0
390,44,897,400,0
351,24,882,367,0
298,0,774,316,0
247,7,641,249,0
155,9,459,122,0
291,0,755,302,0
99,2,229,7,0
226,5,592,227,0
270,0,745,293,0
337,48,908,370,0
322,36,823,330,0
392,2,930,406,0
142,0,441,108,0
320,0,916,344,0
291,9,782,302,0
323,16,792,334,0
288,10,775,301,0
325,9,927,348,0
318,0,812,324,0
237,22,611,238,0
185,1,535,168,0
272,37,692,276,0
149,1,415,92,0
117,0,295,37,0
189,5,545,173,0
320,37,792,331,0
150,1,413,92,14
319,31,786,329,14
373,26,884,391,0
314,31,788,329,0
211,1,576,202,0
357,40,831,364,0
339,31,869,356,14
171,0,515,153,0
