@relation 'camel-weka.filters.unsupervised.attribute.Remove-V-R2,3,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
0,437,265,31,1
0,632,316,83,1
0,452,258,34,0
0,789,384,107,0
0,1058,434,171,0
0,972,377,81,0
1,1192,493,179,0
20,500,284,45,0
0,968,376,83,0
3,1316,530,153,0
10,1108,451,175,1
50,1018,425,161,0
0,544,296,74,1
0,571,245,17,1
0,1145,462,172,0
7,1127,456,177,0
2,824,389,78,0
0,1054,426,162,1
3,952,336,81,0
0,818,382,76,1
0,1312,487,134,0
0,562,313,77,0
0,1106,448,173,0
0,1042,428,163,0
14,1186,523,181,0
0,830,396,76,0
0,1269,521,152,0
1,733,436,80,1
4,440,272,32,0
0,938,410,126,1
62,1060,434,170,0
0,749,351,76,1
54,1037,435,168,0
2,753,356,75,1
0,813,393,120,1
0,590,287,40,1
1,705,343,85,0
62,1067,441,174,0
4,841,480,112,1
10,808,327,87,0
0,984,370,61,0
22,448,283,59,0
30,784,366,74,0
0,1212,522,152,0
16,1132,453,177,0
0,543,323,31,1
1,861,319,76,0
13,505,288,51,1
0,684,417,79,1
0,967,375,80,0
0,738,359,96,0
4,713,322,94,1
0,939,408,127,1
13,678,413,80,1
0,1031,550,136,1
0,1211,503,180,0
0,1312,487,134,1
11,959,387,70,1
3,688,392,77,1
0,636,323,78,1
9,1181,511,182,0
0,476,286,32,1
0,934,409,127,1
0,712,350,89,0
0,960,406,130,1
4,1117,451,174,0
1,430,273,33,1
0,972,549,141,0
0,1169,486,177,0
1,899,389,69,1
5,997,379,74,0
0,762,357,74,0
1,834,416,85,1
7,906,329,64,1
0,761,355,74,0
6,661,323,83,1
0,854,408,83,1
0,674,314,84,1
28,760,355,74,1
52,1035,433,166,0
0,830,398,114,0
0,800,387,108,0
0,1064,438,174,0
0,795,326,89,1
0,443,270,36,1
0,803,421,92,1
0,589,275,43,0
1,705,320,93,1
12,469,271,42,0
6,927,408,126,0
1,1003,384,76,0
0,736,320,94,1
0,683,323,79,1
0,833,404,79,0
0,1335,515,147,1
20,966,404,132,0
1,846,393,76,0
5,1006,383,76,0
0,1080,441,179,1
2,1320,531,153,0
0,430,283,57,1
0,516,286,77,1
0,1043,557,143,1
5,491,272,44,1
0,1038,449,94,0
25,614,318,78,0
0,1195,517,175,1
0,1117,452,175,0
0,1070,468,96,1
44,1037,426,159,0
0,1186,524,185,0
0,587,276,43,1
0,435,284,56,1
0,1317,487,135,1
0,642,271,24,1
6,455,271,38,1
0,669,334,23,1
1,667,327,78,1
0,998,381,74,1
0,802,427,84,0
0,798,389,78,0
1,636,347,25,1
5,1066,464,96,1
1,746,350,76,0
0,488,289,56,1
0,891,406,125,1
3,973,375,83,0
3,1028,423,79,0
0,973,372,75,0
9,934,416,129,0
0,1214,522,150,0
0,1070,442,181,0
0,546,302,74,0
0,596,280,25,1
0,983,376,82,0
0,974,481,110,1
1,758,367,102,1
3,754,356,75,1
0,944,336,77,0
2,826,398,81,1
0,1066,463,95,1
0,867,327,69,0
25,984,412,145,0
0,1042,380,64,1
0,1120,453,174,0
2,492,302,29,0
0,713,320,93,0
0,953,385,70,1
0,912,336,84,1
11,1217,521,151,0
0,1033,484,103,1
0,978,542,137,0
0,980,513,130,1
0,854,384,79,1
0,1062,436,168,0
16,500,272,73,0
10,462,271,73,0
0,869,326,71,0
0,1049,384,66,1
0,937,414,121,1
2,1037,481,104,0
0,837,396,76,1
0,509,289,50,1
2,544,318,27,1
3,685,316,85,0
0,938,411,126,1
0,794,389,112,0
0,780,390,77,1
12,687,393,77,1
0,1265,544,171,0
0,832,393,116,0
0,1330,504,143,1
0,975,376,83,0
2,971,366,59,1
0,978,376,76,1
0,992,536,134,1
0,1080,440,179,1
0,785,387,76,1
0,942,525,131,1
3,1321,531,153,0
0,568,313,76,1
3,535,295,74,1
0,1048,440,169,0
3,1046,565,141,1
1,1013,386,66,1
0,1047,402,79,1
0,774,413,67,0
0,555,287,14,1
0,816,423,89,0
0,825,398,115,1
24,507,282,49,0
0,638,334,21,1
5,990,379,70,0
2,949,354,58,0
17,501,274,74,0
0,938,414,126,0
0,1003,535,133,0
0,837,395,117,1
0,955,371,76,0
0,1053,376,63,1
13,560,309,80,0
0,611,273,23,1
12,948,356,58,1
3,830,399,76,0
0,1047,408,79,1
0,679,416,78,1
14,495,275,44,1
0,907,325,80,1
0,1264,538,168,0
0,751,365,101,0
5,1026,444,85,0
12,945,408,129,0
14,479,266,43,0
7,811,329,76,0
1,838,484,115,1
0,692,312,87,0
1,976,374,67,0
0,740,432,80,1
0,880,326,77,1
0,568,293,15,1
1,1177,480,177,0
1,875,407,125,0
2,823,387,78,1
0,545,315,27,1
0,585,334,27,1
0,816,426,83,0
0,445,265,34,1
0,1075,445,181,0
0,990,494,113,0
5,1135,449,172,0
13,497,275,75,0
0,1192,507,181,0
0,852,379,82,0
0,972,531,135,1
0,1203,520,170,1
4,651,339,24,1
1,623,316,80,0
0,1090,445,178,1
0,900,513,125,0
0,583,280,44,1
0,987,532,134,0
0,1035,428,159,0
0,699,326,29,1
0,626,310,79,1
2,654,322,77,0
0,1032,423,79,1
0,741,440,81,0
12,771,388,70,1
0,1049,407,77,1
0,871,323,70,0
0,1021,425,162,0
6,848,402,79,0
0,595,282,13,0
1,1010,380,68,1
0,1074,453,183,1
0,975,484,110,0
0,861,406,124,0
0,1066,440,174,0
0,812,394,122,1
0,805,423,76,1
0,882,407,124,0
13,492,281,47,0
1,971,365,59,0
6,996,383,75,0
0,936,413,128,0
0,971,552,141,0
0,1079,451,180,1
2,1078,448,182,0
22,449,280,56,0
0,842,402,123,0
0,966,407,132,0
0,641,348,24,1
7,766,410,71,1
1,1244,531,170,1
0,997,501,118,0
0,671,328,85,0
3,1086,446,178,0
0,690,311,87,0
0,983,411,143,0
0,847,409,82,1
3,693,393,75,1
1,675,330,78,0
8,990,507,127,0
1,1185,525,186,0
0,1290,525,151,0
0,472,283,32,1
2,818,384,76,0
0,637,275,24,1
0,1309,488,136,0
0,1187,526,185,0
2,1253,529,160,0
0,694,325,77,1
0,491,289,53,0
0,680,420,78,1
0,503,299,55,1
6,1129,451,174,0
2,1033,420,154,0
0,504,300,55,0
0,822,414,129,1
0,690,318,23,1
37,473,273,72,0
0,974,517,130,0
2,523,294,54,1
0,631,317,25,1
0,1041,428,157,1
0,1039,427,162,0
19,455,272,55,0
1,662,283,25,1
9,460,270,73,0
0,660,309,23,1
0,1065,442,175,0
6,455,272,38,0
6,905,332,63,0
3,687,334,87,1
0,1032,421,157,0
7,1034,469,102,0
0,869,327,70,1
7,848,323,76,1
0,620,324,26,1
0,818,448,104,1
1,892,381,73,0
0,1148,469,172,0
0,851,387,78,1
8,783,363,75,0
0,695,336,83,1
0,831,425,76,0
5,873,386,69,1
0,844,396,74,1
4,1047,566,141,0
0,832,429,82,1
0,1009,541,135,1
0,807,424,76,1
15,499,270,72,0
0,1246,535,169,0
0,1169,473,174,0
1,676,335,25,0
0,513,299,29,0
0,573,339,29,1
1,1003,388,66,1
0,750,354,75,0
0,678,410,77,0
28,1006,413,149,0
0,823,395,114,0
0,520,297,51,1
0,811,416,88,1
0,840,407,115,1
0,798,400,121,1
0,1318,488,135,0
0,975,378,83,0
0,503,300,56,1
0,733,356,94,0
0,1041,426,159,0
50,1018,424,161,0
0,792,384,76,1
0,556,285,14,1
3,790,385,110,1
3,443,268,70,1
0,986,411,145,0
0,830,425,83,1
0,639,274,24,1
0,1037,421,161,1
0,940,337,84,1
0,836,401,119,0
0,1079,452,179,0
0,970,552,142,0
7,906,332,64,1
0,1028,418,152,0
0,1165,470,174,0
0,832,417,85,0
0,1055,407,77,0
0,982,512,129,0
0,1219,523,152,1
0,816,427,84,0
1,637,319,79,0
0,839,407,125,0
15,520,296,51,0
15,494,296,56,1
0,1018,413,76,0
5,982,382,75,0
0,758,404,67,1
0,562,310,78,1
4,972,372,75,1
9,1019,553,140,0
0,1185,519,184,1
0,587,274,44,1
0,1328,518,149,1
31,788,368,75,0
0,1056,439,169,0
16,493,280,45,1
0,702,388,75,1
0,445,283,57,1
0,912,344,64,1
0,1010,381,68,1
21,501,282,47,0
1,1169,475,177,0
0,688,316,85,1
2,768,434,80,1
0,813,391,119,0
0,981,507,128,0
0,673,321,78,0
4,935,409,127,1
18,502,278,74,0
0,972,520,131,0
0,477,276,77,1
1,1083,449,179,1
0,1037,491,104,0
0,981,483,109,0
0,960,405,130,1
2,488,277,43,1
4,1049,406,77,1
5,433,275,33,0
3,988,376,68,0
0,1047,404,79,1
0,1030,440,86,1
0,849,383,85,1
3,827,394,74,0
0,686,337,88,1
0,978,490,111,0
0,1232,526,151,0
0,1084,450,178,1
0,966,403,131,0
0,851,388,78,1
