@relation 'qpid-weka.filters.unsupervised.attribute.Remove-V-R5,6,7,last'

@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,14}


@data
1,341,15,0
1,184,4,14
0,318,18,14
0,75,1,14
0,207,7,14
3,233,9,14
30,297,29,14
1,338,8,14
0,217,9,14
1,194,9,14
8,330,39,14
2,56,1,14
4,328,6,14
3,296,10,0
141,149,6,14
1,308,33,14
63,364,108,14
0,90,1,0
5,335,11,0
1,321,5,14
0,176,27,14
0,300,7,14
15,111,29,14
0,238,8,14
0,246,2,14
0,83,6,14
2,227,14,14
0,168,34,14
159,269,21,0
0,88,25,14
0,187,31,14
1,311,5,14
3,302,17,0
239,331,47,14
1,199,8,14
20,350,82,0
0,339,8,14
16,338,34,14
3,265,11,14
86,282,26,14
0,344,10,14
0,328,6,0
2,371,9,14
3,285,23,0
10,266,14,14
2,191,2,14
50,304,8,14
0,221,5,14
0,214,14,14
0,297,21,14
2,77,1,14
0,280,7,14
0,242,2,14
2,273,12,14
0,279,82,14
1,321,96,0
23,342,89,14
0,25,1,14
0,315,19,14
2,252,8,14
3,266,14,14
1,319,7,14
0,256,9,14
0,138,6,14
3,195,3,14
0,228,6,14
1,222,8,0
0,82,1,14
7,318,54,14
0,192,6,14
4,290,13,14
0,188,1,14
0,328,5,14
0,340,9,14
0,308,31,14
17,303,31,14
0,304,10,14
1,267,14,14
6,296,18,0
2,358,27,14
0,277,23,14
0,290,19,14
0,300,11,14
0,164,6,14
0,165,5,14
1,280,18,14
0,304,9,14
0,334,12,14
0,181,20,14
0,219,7,14
4,308,5,14
0,300,9,14
11,97,28,0
4,171,29,14
4,316,37,0
0,283,11,14
0,197,12,14
1,291,22,14
0,215,32,14
0,195,11,14
0,260,13,14
0,188,10,14
0,189,4,14
3,335,34,14
1,303,56,14
2,338,19,14
0,188,5,14
0,218,4,14
2,122,3,14
0,264,21,14
36,329,91,0
5,338,28,14
1,47,1,14
0,194,6,14
4,189,1,14
36,318,97,0
0,149,7,14
0,217,9,14
0,162,1,0
54,363,105,14
4,306,28,14
15,308,32,14
11,307,31,14
0,119,15,14
0,241,18,14
59,316,16,14
1,272,10,14
3,192,4,14
3,343,11,14
0,98,5,14
0,154,5,14
2,301,20,14
142,176,27,14
6,207,5,14
1,353,127,14
6,277,12,14
0,299,30,14
0,193,1,0
0,149,5,14
7,149,8,14
2,259,12,0
12,286,21,14
0,107,4,14
3,328,84,14
1,93,6,14
0,79,1,14
10,253,20,14
0,182,15,14
0,183,6,14
0,197,7,14
31,302,49,14
0,176,4,0
0,205,7,14
1,258,9,14
0,158,21,14
0,17,1,14
0,224,9,14
19,132,31,14
1,89,3,0
0,260,9,14
0,188,5,14
0,204,7,14
1,320,36,14
54,363,113,14
3,264,15,14
1,298,25,14
0,279,12,14
1,153,2,14
0,363,10,14
58,310,27,14
2,236,17,14
58,312,28,14
2,305,7,14
0,416,36,0
36,305,6,14
1,270,12,14
1,155,2,14
0,177,8,14
3,287,11,14
83,267,19,14
30,308,27,14
0,161,7,14
40,337,90,0
0,206,6,14
0,235,7,14
0,192,4,14
0,298,20,14
6,361,23,14
0,363,23,14
0,146,6,14
0,299,10,14
1,280,39,14
31,333,28,14
13,352,93,14
141,148,6,14
0,171,1,14
2,218,14,14
2,376,9,14
1,166,5,14
5,284,24,14
0,341,18,14
1,356,113,14
0,165,7,14
3,351,81,14
12,315,30,14
2,198,5,14
0,222,13,0
3,333,36,14
0,242,9,14
0,132,8,14
0,247,2,14
9,279,39,14
1,339,12,14
0,189,4,14
0,207,9,14
0,366,26,14
1,190,6,14
0,364,10,14
1,311,55,14
7,221,13,14
0,148,13,14
0,292,19,0
2,215,9,0
91,302,8,14
14,306,44,14
2,287,11,14
14,140,29,14
0,181,7,14
0,116,2,14
1,273,51,14
0,203,7,14
1,259,13,14
12,313,33,14
3,243,8,14
2,198,5,14
0,188,31,14
9,316,32,14
12,330,45,14
0,179,6,14
54,353,96,14
29,353,95,14
0,158,5,14
2,335,6,14
6,301,11,14
0,216,14,14
0,339,19,14
0,203,2,14
2,206,7,14
0,353,127,14
0,169,6,14
0,149,22,14
5,187,6,0
2,248,35,14
0,328,27,0
1,300,57,14
0,342,16,14
2,299,24,14
0,174,1,14
4,330,28,14
0,161,1,14
0,218,6,14
1,219,34,14
0,195,3,14
6,135,6,14
0,347,20,14
0,167,5,14
0,157,10,14
2,247,8,14
0,227,8,0
1,160,7,14
0,333,16,14
0,157,6,14
0,172,8,14
0,176,1,14
1,284,7,14
4,301,28,0
0,342,10,14
239,324,40,14
0,200,1,14
12,117,29,14
0,338,8,14
0,329,20,14
0,132,6,14
0,179,7,14
0,184,4,14
1,217,4,14
2,314,21,14
0,264,37,14
2,300,9,14
0,156,6,14
1,92,4,14
13,150,27,14
0,174,1,14
0,202,6,14
4,181,7,14
0,214,7,14
0,270,20,14
3,161,21,14
11,299,46,14
11,297,51,0
170,277,90,14
1,188,4,14
0,301,6,14
2,92,2,14
3,297,37,14
0,326,5,14
72,347,35,14
2,325,27,14
0,148,1,14
15,320,99,14
0,206,9,14
7,247,20,14
14,137,29,14
6,316,40,14
61,283,13,14
34,314,103,0
0,149,37,14
0,189,6,14
0,246,8,14
0,159,7,0
0,219,14,14
1,105,29,14
31,298,52,14
2,123,3,14
0,288,24,14
0,193,8,14
1,208,9,14
1,170,2,14
0,218,4,14
62,303,22,14
6,150,13,14
0,347,17,14
0,96,6,14
0,179,4,14
0,152,2,14
0,286,29,14
0,218,9,14
2,309,6,14
5,380,80,14
5,335,10,14
18,182,33,14
66,318,5,14
18,300,34,14
5,350,10,14
0,140,32,14
0,184,4,14
8,297,64,14
0,131,6,14
12,343,35,14
0,182,9,14
0,370,9,14
13,90,4,0
0,333,33,14
28,329,81,14
0,348,121,14
3,246,9,14
1,319,20,14
0,200,3,14
0,176,1,14
0,283,23,14
0,295,7,14
0,178,8,14
8,329,39,14
1,260,9,14
1,157,5,14
2,303,41,14
6,356,13,14
1,304,7,14
9,288,19,0
0,137,30,14
0,189,7,0
2,244,20,14
1,158,2,14
0,342,19,14
2,276,77,14
0,243,2,14
0,301,11,14
3,305,31,14
1,337,9,14
10,251,18,14
0,82,6,14
1,149,1,14
1,264,51,14
12,333,34,14
1,156,6,0
0,332,10,14
236,318,52,0
0,289,20,14
8,334,36,14
0,346,91,14
9,297,33,14
0,284,54,14
0,210,4,14
0,170,34,14
12,332,35,14
0,173,8,14
0,244,9,14
0,173,8,14
1,360,27,14
0,145,1,14
0,214,6,14
2,336,11,14
2,280,7,14
0,71,2,14
0,283,35,14
0,186,6,0
2,166,5,14
1,306,6,14
0,291,11,14
71,284,29,0
0,193,9,14
2,198,5,14
0,104,9,14
0,262,32,14
14,323,40,0
0,285,21,14
