@relation 'qpid-weka.filters.unsupervised.attribute.Remove-V-R5,6,7,last'

@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
1,341,15,0
1,184,4,1
0,318,18,1
0,75,1,1
0,207,7,1
3,233,9,1
30,297,29,1
1,338,8,1
0,217,9,1
1,194,9,1
8,330,39,1
2,56,1,1
4,328,6,1
3,296,10,1
141,149,6,1
1,308,33,1
63,364,108,1
0,90,1,0
5,335,11,1
1,321,5,1
0,176,27,1
0,300,7,1
15,111,29,1
0,238,8,1
0,246,2,1
0,83,6,1
2,227,14,1
0,168,34,1
159,269,21,0
0,88,25,1
0,187,31,1
1,311,5,1
3,302,17,1
239,331,47,1
1,199,8,1
20,350,82,0
0,339,8,1
16,338,34,1
3,265,11,1
86,282,26,1
0,344,10,1
0,328,6,1
2,371,9,1
3,285,23,1
10,266,14,1
2,191,2,1
50,304,8,1
0,221,5,1
0,214,14,1
0,297,21,1
2,77,1,1
0,280,7,1
0,242,2,1
2,273,12,1
0,279,82,1
1,321,96,0
23,342,89,1
0,25,1,1
0,315,19,1
2,252,8,1
3,266,14,1
1,319,7,1
0,256,9,1
0,138,6,1
3,195,3,1
0,228,6,1
1,222,8,0
0,82,1,1
7,318,54,1
0,192,6,1
4,290,13,1
0,188,1,1
0,328,5,1
0,340,9,1
0,308,31,1
17,303,31,1
0,304,10,1
1,267,14,1
6,296,18,1
2,358,27,1
0,277,23,1
0,290,19,1
0,300,11,1
0,164,6,1
0,165,5,1
1,280,18,1
0,304,9,1
0,334,12,1
0,181,20,1
0,219,7,1
4,308,5,1
0,300,9,1
11,97,28,0
4,171,29,1
4,316,37,0
0,283,11,1
0,197,12,1
1,291,22,1
0,215,32,1
0,195,11,1
0,260,13,1
0,188,10,1
0,189,4,1
3,335,34,1
1,303,56,1
2,338,19,1
0,188,5,1
0,218,4,1
2,122,3,1
0,264,21,1
36,329,91,0
5,338,28,1
1,47,1,1
0,194,6,1
4,189,1,1
36,318,97,1
0,149,7,1
0,217,9,1
0,162,1,1
54,363,105,1
4,306,28,1
15,308,32,1
11,307,31,1
0,119,15,1
0,241,18,1
59,316,16,1
1,272,10,1
3,192,4,1
3,343,11,1
0,98,5,1
0,154,5,1
2,301,20,1
142,176,27,1
6,207,5,1
1,353,127,1
6,277,12,1
0,299,30,1
0,193,1,0
0,149,5,1
7,149,8,1
2,259,12,0
12,286,21,1
0,107,4,1
3,328,84,1
1,93,6,1
0,79,1,1
10,253,20,1
0,182,15,1
0,183,6,1
0,197,7,1
31,302,49,1
0,176,4,1
0,205,7,1
1,258,9,1
0,158,21,1
0,17,1,1
0,224,9,1
19,132,31,1
1,89,3,0
0,260,9,1
0,188,5,1
0,204,7,1
1,320,36,1
54,363,113,1
3,264,15,1
1,298,25,1
0,279,12,1
1,153,2,1
0,363,10,1
58,310,27,1
2,236,17,1
58,312,28,1
2,305,7,1
0,416,36,1
36,305,6,1
1,270,12,1
1,155,2,1
0,177,8,1
3,287,11,1
83,267,19,1
30,308,27,1
0,161,7,1
40,337,90,1
0,206,6,1
0,235,7,1
0,192,4,1
0,298,20,1
6,361,23,1
0,363,23,1
0,146,6,1
0,299,10,1
1,280,39,1
31,333,28,1
13,352,93,1
141,148,6,1
0,171,1,1
2,218,14,1
2,376,9,1
1,166,5,1
5,284,24,1
0,341,18,1
1,356,113,1
0,165,7,1
3,351,81,1
12,315,30,1
2,198,5,1
0,222,13,0
3,333,36,1
0,242,9,1
0,132,8,1
0,247,2,1
9,279,39,1
1,339,12,1
0,189,4,1
0,207,9,1
0,366,26,1
1,190,6,1
0,364,10,1
1,311,55,1
7,221,13,1
0,148,13,1
0,292,19,0
2,215,9,1
91,302,8,1
14,306,44,1
2,287,11,1
14,140,29,1
0,181,7,1
0,116,2,1
1,273,51,1
0,203,7,1
1,259,13,1
12,313,33,1
3,243,8,1
2,198,5,1
0,188,31,1
9,316,32,1
12,330,45,1
0,179,6,1
54,353,96,1
29,353,95,1
0,158,5,1
2,335,6,1
6,301,11,1
0,216,14,1
0,339,19,1
0,203,2,1
2,206,7,1
0,353,127,1
0,169,6,1
0,149,22,1
5,187,6,1
2,248,35,1
0,328,27,1
1,300,57,1
0,342,16,1
2,299,24,1
0,174,1,1
4,330,28,1
0,161,1,1
0,218,6,1
1,219,34,1
0,195,3,1
6,135,6,1
0,347,20,1
0,167,5,1
0,157,10,1
2,247,8,1
0,227,8,1
1,160,7,1
0,333,16,1
0,157,6,1
0,172,8,1
0,176,1,1
1,284,7,1
4,301,28,1
0,342,10,1
239,324,40,1
0,200,1,1
12,117,29,1
0,338,8,1
0,329,20,1
0,132,6,1
0,179,7,1
0,184,4,1
1,217,4,1
2,314,21,1
0,264,37,1
2,300,9,1
0,156,6,1
1,92,4,1
13,150,27,1
0,174,1,1
0,202,6,1
4,181,7,1
0,214,7,1
0,270,20,1
3,161,21,1
11,299,46,1
11,297,51,1
170,277,90,1
1,188,4,1
0,301,6,1
2,92,2,1
3,297,37,1
0,326,5,1
72,347,35,1
2,325,27,1
0,148,1,1
15,320,99,1
0,206,9,1
7,247,20,1
14,137,29,1
6,316,40,1
61,283,13,1
34,314,103,1
0,149,37,1
0,189,6,1
0,246,8,1
0,159,7,1
0,219,14,1
1,105,29,1
31,298,52,1
2,123,3,1
0,288,24,1
0,193,8,1
1,208,9,1
1,170,2,1
0,218,4,1
62,303,22,1
6,150,13,1
0,347,17,1
0,96,6,1
0,179,4,1
0,152,2,1
0,286,29,1
0,218,9,1
2,309,6,1
5,380,80,1
5,335,10,1
18,182,33,1
66,318,5,1
18,300,34,1
5,350,10,1
0,140,32,1
0,184,4,1
8,297,64,1
0,131,6,1
12,343,35,1
0,182,9,1
0,370,9,1
13,90,4,1
0,333,33,1
28,329,81,1
0,348,121,1
3,246,9,1
1,319,20,1
0,200,3,1
0,176,1,1
0,283,23,1
0,295,7,1
0,178,8,1
8,329,39,1
1,260,9,1
1,157,5,1
2,303,41,1
6,356,13,1
1,304,7,1
9,288,19,1
0,137,30,1
0,189,7,0
2,244,20,1
1,158,2,1
0,342,19,1
2,276,77,1
0,243,2,1
0,301,11,1
3,305,31,1
1,337,9,1
10,251,18,1
0,82,6,1
1,149,1,1
1,264,51,1
12,333,34,1
1,156,6,0
0,332,10,1
236,318,52,0
0,289,20,1
8,334,36,1
0,346,91,1
9,297,33,1
0,284,54,1
0,210,4,1
0,170,34,1
12,332,35,1
0,173,8,1
0,244,9,1
0,173,8,1
1,360,27,1
0,145,1,1
0,214,6,1
2,336,11,1
2,280,7,1
0,71,2,1
0,283,35,1
0,186,6,1
2,166,5,1
1,306,6,1
0,291,11,1
71,284,29,1
0,193,9,1
2,198,5,1
0,104,9,1
0,262,32,1
14,323,40,0
0,285,21,1
0,325,20,1
2,57,2,1
3,293,11,1
6,182,34,1
0,181,7,1
3,354,13,1
12,328,83,1
4,370,28,1
1,193,7,1
0,296,8,0
0,182,1,1
5,299,24,1
0,176,1,1
23,352,114,1
2,188,11,1
1,180,6,1
0,316,34,1
0,271,14,1
0,177,9,1
6,353,13,1
13,291,34,0
6,185,7,1
1,338,12,1
6,345,28,1
0,294,10,1
0,144,2,1
0,298,50,1
2,350,28,0
6,206,6,1
1,100,11,1
0,297,8,1
3,332,20,1
1,289,25,1
1,159,6,1
0,181,4,1
62,355,92,1
70,256,18,1
2,196,6,1
1,212,4,1
0,308,26,1
2,282,7,1
2,98,5,1
3,272,44,1
0,175,1,1
54,319,36,1
62,350,88,1
2,290,33,1
8,298,24,1
0,26,1,1
0,166,5,1
0,284,10,1
0,305,45,0
0,203,7,0
0,228,13,1
2,125,4,1
0,287,29,0
2,208,9,1
0,190,3,1
0,185,7,1
3,154,6,1
0,295,10,0
9,357,89,1
14,303,48,1
30,329,27,1
0,117,6,1
0,204,8,1
0,233,11,1
0,81,1,1
0,329,10,1
0,298,20,1
0,162,6,1
0,164,7,1
0,142,11,1
0,187,3,1
10,253,18,1
0,164,1,1
1,369,24,1
2,229,13,1
0,159,1,1
0,195,2,1
0,220,7,1
5,350,13,1
1,244,7,1
0,209,2,1
0,96,26,1
0,200,2,1
0,187,4,1
2,205,8,1
10,307,32,1
0,223,6,1
6,320,9,1
0,36,1,1
3,156,11,1
12,299,37,1
17,331,15,1
0,209,9,1
0,337,10,1
2,228,11,1
1,205,7,1
1,271,20,1
236,299,75,1
0,172,1,1
0,227,17,1
0,207,3,0
170,275,98,1
20,168,22,0
4,156,21,1
5,94,6,0
3,149,5,1
0,362,26,1
34,317,92,1
0,97,6,1
0,188,4,1
1,189,2,1
8,293,33,1
1,272,20,1
0,267,18,1
0,153,10,1
15,186,30,0
0,216,9,1
6,137,6,1
239,329,49,1
1,277,90,1
0,208,7,1
0,217,5,1
0,178,1,1
0,54,1,1
5,304,7,1
0,208,6,1
7,198,7,1
3,159,6,1
10,265,18,1
0,136,1,1
0,273,13,1
0,190,3,1
0,212,6,1
0,201,6,1
0,223,7,1
2,195,4,1
0,311,20,1
0,361,27,1
8,294,64,1
12,319,118,1
0,171,5,1
2,217,15,1
2,358,28,1
0,185,8,1
0,329,35,1
0,268,13,1
1,82,3,1
0,141,6,1
2,183,4,1
0,170,7,1
3,295,50,1
2,348,13,1
36,330,82,1
5,305,6,1
1,337,34,1
8,321,53,1
14,307,30,1
1,206,5,1
13,124,28,1
2,221,11,1
1,352,13,1
36,300,8,1
7,246,20,1
0,243,7,1
5,206,3,1
16,298,29,1
0,198,6,1
15,300,49,1
36,309,89,1
30,354,129,1
0,332,12,1
2,210,8,1
0,339,10,1
1,197,6,1
0,188,31,1
0,333,10,1
0,233,9,1
0,197,1,1
0,188,2,1
19,324,33,1
10,265,21,1
20,328,119,1
0,188,3,1
0,205,5,1
2,223,17,1
0,280,22,1
21,283,41,0
2,237,9,1
0,206,10,1
236,319,52,0
3,320,14,1
0,201,8,1
1,170,4,1
141,233,42,1
0,278,22,1
12,97,26,1
0,337,11,1
0,175,7,1
0,99,2,1
1,150,7,1
236,304,62,1
0,185,1,1
0,177,7,1
15,183,30,1
5,286,31,1
16,305,29,1
0,190,8,1
236,286,65,1
4,154,7,1
0,372,24,1
0,233,7,1
0,174,9,1
2,199,5,1
0,283,14,1
0,352,13,1
3,281,68,1
0,206,7,1
0,62,4,1
3,136,29,1
