@relation 'qpid-weka.filters.unsupervised.attribute.Remove-V-R5,6,7,last'

@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,90}


@data
1,341,15,0
1,184,4,90
0,318,18,90
0,75,1,90
0,207,7,90
3,233,9,90
30,297,29,90
1,338,8,0
0,217,9,90
1,194,9,90
8,330,39,90
2,56,1,90
4,328,6,90
3,296,10,0
141,149,6,90
1,308,33,90
63,364,108,90
0,90,1,0
5,335,11,0
1,321,5,90
0,176,27,90
0,300,7,0
15,111,29,90
0,238,8,90
0,246,2,90
0,83,6,90
2,227,14,90
0,168,34,90
159,269,21,0
0,88,25,90
0,187,31,90
1,311,5,0
3,302,17,0
239,331,47,90
1,199,8,90
20,350,82,0
0,339,8,90
16,338,34,0
3,265,11,0
86,282,26,0
0,344,10,90
0,328,6,0
2,371,9,90
3,285,23,0
10,266,14,90
2,191,2,90
50,304,8,90
0,221,5,90
0,214,14,90
0,297,21,90
2,77,1,90
0,280,7,90
0,242,2,90
2,273,12,90
0,279,82,90
1,321,96,0
23,342,89,0
0,25,1,90
0,315,19,90
2,252,8,90
3,266,14,0
1,319,7,0
0,256,9,90
0,138,6,90
3,195,3,90
0,228,6,90
1,222,8,0
0,82,1,90
7,318,54,90
0,192,6,0
4,290,13,90
0,188,1,90
0,328,5,90
0,340,9,90
0,308,31,90
17,303,31,90
0,304,10,90
1,267,14,90
6,296,18,0
2,358,27,90
0,277,23,90
0,290,19,90
0,300,11,90
0,164,6,90
0,165,5,90
1,280,18,90
0,304,9,90
0,334,12,90
0,181,20,90
0,219,7,90
4,308,5,0
0,300,9,90
11,97,28,0
4,171,29,90
4,316,37,0
0,283,11,90
0,197,12,0
1,291,22,90
0,215,32,0
0,195,11,90
0,260,13,90
0,188,10,90
0,189,4,90
3,335,34,90
1,303,56,90
2,338,19,90
0,188,5,90
0,218,4,90
2,122,3,90
0,264,21,90
36,329,91,0
5,338,28,90
1,47,1,0
0,194,6,90
4,189,1,90
36,318,97,0
0,149,7,90
0,217,9,90
0,162,1,0
54,363,105,90
4,306,28,0
15,308,32,90
11,307,31,0
0,119,15,90
0,241,18,90
59,316,16,90
1,272,10,90
3,192,4,90
3,343,11,90
0,98,5,90
0,154,5,90
2,301,20,90
142,176,27,90
6,207,5,90
1,353,127,90
6,277,12,90
0,299,30,90
0,193,1,0
0,149,5,90
7,149,8,90
2,259,12,0
12,286,21,90
0,107,4,0
3,328,84,0
1,93,6,90
0,79,1,90
10,253,20,90
0,182,15,90
0,183,6,90
0,197,7,0
31,302,49,90
0,176,4,0
0,205,7,90
1,258,9,90
