@relation 'deeplearning-weka.filters.unsupervised.attribute.Remove-V-R1,3,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute timeopen {0,7}


@data
31,442,0
116,675,0
74,333,0
37,1105,7
13,604,0
47,968,0
29,441,0
5,495,0
60,448,0
8,655,0
6,469,0
1147,418,0
32,454,0
31,977,0
54,447,7
2,623,0
2,725,0
4,376,0
4,401,0
18,643,0
8,472,0
49,493,0
136,485,7
160,493,7
84,261,0
174,1024,0
16,738,7
83,1041,0
209,262,0
30,432,7
151,455,0
3,628,0
27,356,7
42,508,0
78,486,0
56,695,0
132,505,0
559,448,7
52,616,7
2,626,0
37,300,0
57,369,0
76,396,7
20,604,0
13,277,0
81,674,7
2,640,0
12,284,0
10,338,0
2,542,0
7,513,0
26,1085,0
8,575,0
9,844,0
165,1040,7
7,493,0
157,381,7
2,631,0
6,257,0
6,652,0
2,511,0
134,336,0
14,1031,0
40,420,0
9,352,0
121,969,0
41,447,0
105,435,0
43,1099,7
70,1058,0
45,612,0
8,1052,0
22,352,7
27,790,7
434,454,0
15,417,0
141,350,0
139,657,7
35,263,0
51,462,0
24,607,0
55,441,0
54,857,0
5,1091,0
5,778,0
315,368,0
1,734,0
5,464,0
290,416,0
39,958,0
12,270,0
33,919,0
75,987,7
10,276,7
9,532,0
122,1059,0
391,631,7
27,404,7
4,1053,0
114,669,0
24,284,0
66,674,7
4,1107,0
57,1101,7
37,576,0
256,439,0
15,676,0
7,578,0
31,326,0
2,449,0
37,875,0
6,434,0
45,338,0
56,1060,0
6,650,0
11,324,0
28,874,7
5,439,0
9,536,7
77,1047,7
100,244,0
27,308,0
79,466,7
8,748,0
83,667,0
203,277,0
126,499,0
12,492,0
42,966,0
174,539,7
8,449,0
35,383,0
18,373,0
10,772,0
196,577,0
60,330,0
10,484,0
519,496,7
2,588,0
49,272,7
40,632,0
106,448,7
2,646,0
55,514,7
1,591,0
105,738,7
26,654,0
19,449,0
39,338,0
26,387,0
9,454,0
103,275,0
37,324,7
2,664,0
35,277,0
