@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
0,107,0,307,2,1
0,646,0,896,123,0
0,81,0,171,0,0
0,777,0,1019,298,0
0,689,0,953,7,0
3,529,1,836,2,1
2,407,0,641,33,1
3,500,1,819,2,1
0,772,0,1031,1,1
0,707,0,945,123,1
0,466,0,724,15,0
0,810,0,1059,327,1
0,759,0,1042,216,0
0,411,0,641,22,1
0,449,0,641,1,0
3,529,0,834,1,0
0,405,0,652,5,0
3,499,1,811,2,1
0,333,0,534,0,0
0,351,0,532,19,1
0,461,0,757,6,0
0,520,0,834,0,0
0,707,0,944,123,1
2,416,0,656,15,1
0,111,0,235,0,0
0,657,0,898,130,1
0,755,1,1006,164,0
0,599,2,852,26,1
16,760,35,1044,216,1
0,116,0,195,1,1
0,580,0,841,2,1
121,793,1,1080,1,1
0,498,1,808,6,1
0,127,0,218,1,1
0,95,0,172,0,1
0,123,6,329,0,1
0,34,0,86,0,1
0,122,0,212,0,1
0,529,1,816,4,1
0,482,0,790,3,1
0,741,6,985,142,1
0,562,0,818,2,1
0,108,0,215,0,1
0,11,0,15,0,1
0,542,2,837,4,1
0,844,0,1094,1,1
0,387,0,658,4,1
0,768,10,1054,213,1
0,438,0,647,1,1
0,559,4,812,29,1
0,146,0,270,0,1
44,58,0,170,0,1
0,522,0,769,2,1
0,121,0,197,0,1
42,779,9,1058,197,1
0,590,2,853,16,1
0,125,0,210,39,1
0,563,0,818,2,1
0,750,0,1033,1,1
0,546,8,834,8,1
0,633,8,917,12,1
0,469,0,819,3,1
0,773,6,1047,220,1
0,487,1,827,2,1
0,500,2,870,0,1
0,497,2,851,0,1
35,691,0,949,10,1
0,527,1,811,4,1
0,210,0,461,0,1
0,450,2,645,1,1
52,138,0,219,0,1
0,112,0,205,0,1
0,741,10,987,141,1
19,386,2,634,1,1
0,82,0,154,0,1
52,138,0,230,0,1
0,149,0,325,5,1
0,154,42,398,0,1
0,128,0,211,0,1
0,668,21,911,79,1
0,116,0,239,2,1
0,224,0,469,0,1
0,514,2,804,3,1
0,390,1,667,7,1
0,121,0,211,0,1
0,351,0,541,1,1
0,283,7,505,0,1
0,798,1,1079,1,1
0,98,0,177,0,1
0,393,1,722,7,1
0,652,5,895,132,1
0,456,1,795,3,1
0,333,0,540,1,1
0,96,0,149,1,1
0,52,0,134,0,1
0,654,34,867,143,1
0,781,10,1042,199,1
0,460,1,806,3,1
0,489,1,838,0,1
0,128,0,203,0,1
0,545,10,829,8,1
0,141,0,260,0,1
0,628,0,885,49,1
0,126,1,218,1,1
0,34,0,91,0,1
0,402,0,640,1,1
0,149,0,325,5,1
0,686,10,927,91,1
0,509,1,823,4,1
0,283,0,506,0,1
0,106,0,232,1,1
0,283,0,502,33,1
0,111,0,191,0,1
0,596,17,853,20,1
0,126,0,197,0,1
0,113,0,265,2,1
0,727,0,1027,1,1
0,683,10,925,90,1
0,146,0,297,0,1
0,76,0,159,0,1
0,157,0,310,6,1
0,122,0,211,0,1
0,797,0,1076,1,1
0,497,2,857,0,1
0,62,0,173,0,1
0,124,0,213,0,1
0,114,0,232,0,1
0,121,0,194,0,1
0,105,0,218,0,1
0,764,0,1034,1,1
0,122,0,236,0,1
0,554,0,798,4,1
0,724,0,1024,1,1
0,265,0,502,18,1
0,103,0,164,1,1
0,670,0,949,10,1
0,501,2,848,2,1
0,125,0,199,0,1
0,128,0,218,0,1
0,349,0,590,6,1
0,124,0,307,0,1
0,547,0,792,28,1
0,167,4,313,42,1
0,399,0,569,1,1
0,810,0,1077,1,1
0,426,1,668,5,1
0,759,1,1036,1,1
54,117,0,199,1,1
0,497,0,847,0,1
0,498,3,841,0,1
0,720,1,1012,1,1
0,264,7,534,129,1
0,756,18,1009,165,1
0,521,1,820,3,1
0,300,0,517,0,1
0,21,0,30,0,1
73,94,0,210,0,1
0,351,0,540,1,1
0,158,42,307,43,1
0,137,0,297,0,1
0,137,0,215,0,1
0,153,0,347,4,1
0,587,0,839,27,1
0,120,10,278,2,1
0,122,0,212,0,1
0,107,0,226,14,1
0,54,0,151,0,1
0,103,0,214,0,1
0,455,0,639,1,1
0,565,4,803,4,1
0,544,0,837,5,1
0,151,0,305,10,1
0,567,9,823,27,1
0,80,0,160,0,1
0,561,10,831,8,1
0,363,0,596,1,1
0,130,0,207,0,1
0,284,4,507,0,1
0,132,0,194,0,1
0,117,0,218,1,1
0,172,0,337,0,1
0,133,0,248,0,1
53,467,0,659,1,1
0,718,0,986,4,1
0,150,19,310,10,1
0,555,0,791,29,1
0,507,1,841,0,1
0,548,3,831,8,1
0,81,0,154,0,1
0,594,1,845,26,1
0,112,0,237,2,1
0,291,0,521,44,1
0,747,14,1022,185,1
0,113,0,311,2,1
0,391,0,628,6,1
0,507,3,843,0,1
0,358,5,597,6,1
0,560,15,811,5,1
0,139,0,243,0,1
0,166,2,328,0,1
0,61,0,170,0,1
0,523,0,770,2,1
0,499,1,842,0,1
0,492,1,811,3,1
0,749,35,973,241,1
0,126,0,201,0,1
0,96,0,151,1,1
0,74,0,170,0,1
0,804,0,1081,1,1
0,811,9,1050,321,1
0,83,0,153,0,1
0,771,12,1047,208,1
0,760,2,1042,222,1
0,128,0,311,0,1
0,237,0,484,0,1
0,147,0,332,5,1
0,765,6,1025,195,1
0,639,0,947,2,1
0,145,0,383,0,1
0,837,0,1092,1,1
0,414,0,661,5,1
0,399,1,564,20,1
43,86,0,162,1,1
0,101,0,205,0,1
0,92,0,224,0,1
31,119,0,207,0,1
0,76,0,157,0,1
0,109,10,311,1,1
0,560,0,793,4,1
0,451,0,694,1,1
0,90,0,195,3,1
0,118,0,223,1,1
0,112,2,236,1,1
0,400,4,711,7,1
0,81,0,172,0,1
0,692,0,977,1,1
0,473,2,805,2,1
0,111,0,235,0,1
0,127,0,303,0,1
0,543,10,837,5,1
0,33,0,77,0,1
0,69,0,157,0,1
0,385,0,631,6,1
0,755,1,1028,1,1
0,511,1,809,3,1
0,424,0,660,1,1
0,484,2,842,0,1
0,710,0,1006,3,1
0,148,1,387,0,1
0,168,25,316,38,1
0,500,2,813,5,1
0,421,3,660,3,1
0,291,0,529,52,1
0,132,0,215,0,1
0,746,0,1013,179,1
0,476,1,707,1,1
0,610,0,853,19,1
0,160,0,272,0,1
0,98,0,219,2,1
0,128,0,187,0,1
0,377,0,543,20,1
0,657,2,945,12,1
0,89,0,153,1,1
0,352,0,545,1,1
0,66,0,161,0,1
0,104,0,230,0,1
0,107,0,188,0,1
0,366,0,609,1,1
0,126,0,197,0,1
0,264,2,494,18,1
0,118,0,344,0,1
0,771,0,1062,1,1
0,691,0,946,10,1
0,687,2,982,1,1
0,740,15,999,155,1
0,241,0,488,0,1
0,558,0,817,2,1
0,125,14,207,37,1
0,53,0,143,0,1
0,475,0,791,3,1
61,158,0,269,0,1
48,138,0,245,0,1
0,85,0,149,0,1
0,612,0,837,62,1
0,327,0,532,0,1
0,825,0,1082,1,1
0,783,10,1043,201,1
0,559,0,797,29,1
0,801,0,1075,1,1
14,294,31,545,98,1
0,460,1,718,4,1
0,764,5,1051,213,1
0,126,1,298,2,1
0,500,1,831,3,1
0,550,0,833,7,1
0,491,2,703,1,1
0,744,0,1012,154,1
0,92,15,214,0,1
0,131,0,197,0,1
0,560,0,813,29,1
0,300,3,496,16,1
0,770,2,1046,208,1
0,82,0,153,0,1
0,87,0,155,0,1
0,668,12,912,79,1
0,107,0,219,0,1
21,362,1,601,1,1
32,609,1,867,23,1
0,666,0,914,71,1
0,167,0,332,0,1
0,80,0,167,0,1
0,139,0,280,0,1
0,142,0,247,0,1
0,127,0,217,1,1
0,818,0,1081,1,1
0,472,0,690,1,1
0,126,0,211,43,1
0,786,12,1071,233,1
13,41,0,118,0,1
0,124,0,307,0,1
0,522,1,824,1,1
0,132,0,233,0,1
0,303,6,543,69,1
0,121,0,200,0,1
0,570,14,835,9,1
0,288,0,497,14,1
0,611,1,847,14,1
0,440,1,623,4,1
0,124,0,202,0,1
0,754,6,1037,1,1
0,639,0,946,2,1
0,780,0,1062,1,1
0,768,12,1047,234,1
0,644,0,940,2,1
0,127,0,256,0,1
0,147,49,333,5,1
0,430,0,625,4,1
0,723,0,1020,1,1
0,81,0,171,1,1
0,109,3,224,19,1
0,68,0,163,0,1
0,124,0,195,0,1
0,33,0,102,0,1
0,143,0,268,0,1
0,122,0,215,0,1
4,507,0,839,0,1
0,603,0,865,28,1
31,121,0,209,0,1
0,483,1,827,2,1
0,625,10,887,47,1
0,123,0,318,0,1
0,657,8,950,12,1
0,131,0,220,0,1
0,115,0,241,0,1
0,565,2,822,2,1
0,707,0,943,123,1
0,519,8,804,3,1
0,150,0,379,1,1
0,148,0,372,1,1
0,625,5,896,46,1
0,113,0,197,0,1
0,449,0,644,2,1
0,164,43,302,14,1
2,453,1,641,1,1
0,493,0,821,4,1
0,161,2,335,0,1
0,487,0,823,3,1
0,101,14,210,4,1
0,314,5,522,12,1
0,609,0,862,23,1
0,261,0,535,0,1
0,670,1,948,10,1
0,490,0,809,3,1
0,138,0,243,0,1
0,134,0,209,0,1
0,159,0,333,0,1
0,609,0,845,14,1
0,507,3,830,4,1
0,165,0,436,0,1
0,483,2,826,2,1
0,486,0,698,123,1
0,82,0,157,0,1
0,143,1,302,0,1
0,483,0,813,4,1
0,295,6,546,82,1
0,134,0,206,61,1
0,149,0,328,5,1
0,346,0,573,6,1
0,123,0,195,0,1
0,449,4,642,1,1
0,123,0,212,0,1
0,128,0,265,0,1
0,308,5,498,16,1
0,97,88,212,7,1
0,391,0,639,6,1
0,122,0,208,0,1
0,248,0,502,0,1
0,643,0,913,13,1
0,148,2,320,0,1
0,76,0,171,0,1
0,139,0,218,0,1
0,111,0,221,2,1
0,33,0,96,0,1
0,580,0,823,24,1
0,502,0,847,0,1
0,549,0,815,2,1
0,774,21,1062,230,1
0,758,0,1042,1,1
0,454,1,682,1,1
0,465,0,644,1,1
0,126,7,210,43,1
0,514,0,830,0,1
0,774,2,1063,230,1
0,124,0,331,0,1
34,687,0,954,8,1
0,564,2,806,9,1
0,110,0,313,0,1
0,370,2,605,6,1
0,241,0,487,0,1
0,126,0,222,0,1
0,385,3,629,6,1
0,159,0,330,0,1
0,75,0,158,0,1
