@relation 'combined-weka.filters.unsupervised.attribute.Remove-V-R2,6,7,last'

@attribute ncommitsbycreator numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,30}


@data
0,265,31,30
0,316,83,0
0,258,34,0
0,384,107,0
0,434,171,0
0,377,81,0
1,493,179,0
20,284,45,0
0,376,83,0
3,530,153,0
10,451,175,0
50,425,161,0
0,296,74,0
0,245,17,0
0,462,172,0
7,456,177,0
2,389,78,0
0,426,162,0
3,336,81,0
0,382,76,0
0,487,134,0
0,313,77,0
0,448,173,0
0,428,163,0
14,523,181,0
0,396,76,0
0,521,152,0
1,436,80,0
4,272,32,0
0,410,126,0
62,434,170,0
0,351,76,0
54,435,168,0
2,356,75,0
0,393,120,0
0,287,40,0
1,343,85,0
62,441,174,0
4,480,112,0
10,327,87,0
0,370,61,0
22,283,59,0
30,366,74,0
0,522,152,0
16,453,177,0
0,323,31,30
1,319,76,0
13,288,51,0
0,417,79,30
0,375,80,0
0,359,96,0
4,322,94,0
0,408,127,0
13,413,80,0
0,550,136,0
0,503,180,0
0,487,134,0
11,387,70,30
3,392,77,0
0,323,78,30
9,511,182,0
0,286,32,30
0,409,127,0
0,350,89,0
0,406,130,0
4,451,174,0
1,273,33,0
0,549,141,0
0,486,177,0
1,389,69,0
5,379,74,0
0,357,74,0
1,416,85,0
7,329,64,0
0,355,74,0
6,323,83,0
0,408,83,0
0,314,84,0
28,355,74,0
52,433,166,0
0,398,114,0
0,387,108,0
0,438,174,0
0,326,89,0
0,270,36,0
0,421,92,0
0,275,43,0
1,320,93,0
12,271,42,0
6,408,126,0
1,384,76,0
0,320,94,30
0,323,79,30
0,404,79,0
0,515,147,0
20,404,132,0
1,393,76,0
5,383,76,0
0,441,179,30
2,531,153,0
0,283,57,0
0,286,77,0
0,557,143,0
5,272,44,0
0,449,94,0
25,318,78,0
0,517,175,0
0,452,175,0
0,468,96,0
44,426,159,0
0,524,185,0
0,276,43,30
0,284,56,0
0,487,135,0
0,271,24,30
6,271,38,0
0,334,23,30
1,327,78,30
0,381,74,0
0,427,84,0
0,389,78,0
1,347,25,30
5,464,96,0
1,350,76,0
0,289,56,30
0,406,125,0
3,375,83,0
3,423,79,0
0,372,75,0
9,416,129,0
0,522,150,0
0,442,181,0
0,302,74,0
0,280,25,30
0,376,82,0
0,481,110,0
1,367,102,0
3,356,75,0
0,336,77,0
2,398,81,0
0,463,95,0
0,327,69,0
25,412,145,0
0,380,64,30
0,453,174,0
2,302,29,0
0,320,93,0
0,385,70,0
0,336,84,0
11,521,151,0
0,484,103,0
0,542,137,0
0,513,130,0
0,384,79,0
0,436,168,0
16,272,73,0
10,271,73,0
0,326,71,0
0,384,66,0
0,414,121,0
2,481,104,0
0,396,76,30
0,289,50,30
2,318,27,0
3,316,85,0
0,411,126,30
0,389,112,0
0,390,77,30
12,393,77,30
0,544,171,0
0,393,116,0
0,504,143,0
0,376,83,0
2,366,59,0
0,376,76,0
0,536,134,0
0,440,179,0
0,387,76,0
0,525,131,0
3,531,153,0
0,313,76,0
3,295,74,30
0,440,169,0
3,565,141,0
1,386,66,0
0,402,79,0
0,413,67,0
0,287,14,0
0,423,89,0
0,398,115,0
24,282,49,0
0,334,21,0
5,379,70,0
2,354,58,0
17,274,74,0
0,414,126,0
0,535,133,0
0,395,117,0
0,371,76,0
0,376,63,0
13,309,80,0
0,273,23,0
12,356,58,0
3,399,76,0
0,408,79,0
0,416,78,30
14,275,44,0
0,325,80,0
0,538,168,0
0,365,101,0
5,444,85,0
12,408,129,0
14,266,43,0
7,329,76,0
1,484,115,30
0,312,87,0
1,374,67,0
0,432,80,0
0,326,77,0
0,293,15,30
1,480,177,0
1,407,125,0
2,387,78,30
0,315,27,30
0,334,27,0
0,426,83,0
0,265,34,0
0,445,181,0
0,494,113,0
5,449,172,0
13,275,75,0
0,507,181,0
0,379,82,0
0,531,135,0
0,520,170,0
4,339,24,30
1,316,80,0
0,445,178,0
0,513,125,0
0,280,44,0
0,532,134,0
0,428,159,0
0,326,29,0
0,310,79,0
2,322,77,0
0,423,79,0
0,440,81,0
12,388,70,0
0,407,77,0
0,323,70,0
0,425,162,0
6,402,79,0
0,282,13,0
1,380,68,0
0,453,183,0
0,484,110,0
0,406,124,0
0,440,174,0
0,394,122,0
0,423,76,0
0,407,124,0
13,281,47,0
1,365,59,0
6,383,75,0
0,413,128,0
0,552,141,0
0,451,180,0
2,448,182,0
22,280,56,0
0,402,123,0
0,407,132,0
0,348,24,30
7,410,71,30
1,531,170,0
0,501,118,0
0,328,85,0
3,446,178,0
0,311,87,0
0,411,143,0
0,409,82,0
3,393,75,0
1,330,78,0
8,507,127,0
1,525,186,0
0,525,151,0
0,283,32,0
2,384,76,0
0,275,24,0
0,488,136,0
0,526,185,0
2,529,160,0
0,325,77,0
0,289,53,0
0,420,78,30
0,299,55,30
6,451,174,0
2,420,154,0
0,300,55,0
0,414,129,0
0,318,23,30
37,273,72,0
0,517,130,0
2,294,54,30
0,317,25,30
0,428,157,0
0,427,162,0
19,272,55,0
1,283,25,30
9,270,73,0
0,309,23,0
0,442,175,0
6,272,38,0
6,332,63,0
3,334,87,0
0,421,157,0
7,469,102,0
0,327,70,0
7,323,76,0
0,324,26,0
0,448,104,0
1,381,73,0
0,469,172,0
0,387,78,30
8,363,75,0
0,336,83,0
0,425,76,0
5,386,69,0
0,396,74,0
4,566,141,0
0,429,82,0
0,541,135,0
0,424,76,30
15,270,72,0
0,535,169,0
0,473,174,0
1,335,25,0
0,299,29,0
0,339,29,30
1,388,66,0
0,354,75,0
0,410,77,0
28,413,149,0
0,395,114,0
0,297,51,30
0,416,88,0
0,407,115,0
0,400,121,0
0,488,135,0
0,378,83,0
0,300,56,0
0,356,94,0
0,426,159,0
50,424,161,0
0,384,76,0
0,285,14,30
3,385,110,0
3,268,70,30
0,411,145,0
0,425,83,0
0,274,24,0
0,421,161,0
0,337,84,30
0,401,119,0
0,452,179,0
0,552,142,0
7,332,64,0
0,418,152,0
0,470,174,0
0,417,85,0
0,407,77,0
0,512,129,0
0,523,152,0
0,427,84,0
1,319,79,0
0,407,125,0
15,296,51,0
15,296,56,0
0,413,76,0
5,382,75,0
0,404,67,0
0,310,78,30
4,372,75,0
9,553,140,0
0,519,184,0
0,274,44,30
0,518,149,0
31,368,75,0
0,439,169,0
16,280,45,0
0,388,75,30
0,283,57,0
0,344,64,0
0,381,68,0
21,282,47,0
1,475,177,0
0,316,85,0
2,434,80,0
0,391,119,0
0,507,128,0
0,321,78,0
4,409,127,0
18,278,74,0
0,520,131,0
0,276,77,30
1,449,179,0
0,491,104,0
0,483,109,0
0,405,130,0
2,277,43,30
4,406,77,0
5,275,33,0
3,376,68,0
0,404,79,0
0,440,86,0
0,383,85,30
3,394,74,0
0,337,88,0
0,490,111,0
0,526,151,0
0,450,178,0
0,403,131,0
0,388,78,0
0,413,145,0
0,502,182,0
0,334,83,0
5,434,85,0
0,406,79,0
0,363,56,0
0,247,11,30
0,428,163,0
0,465,95,0
6,322,83,0
0,427,163,0
8,462,179,0
5,401,76,0
7,362,74,0
3,317,75,0
0,474,174,0
0,344,31,0
0,374,63,0
1,524,181,0
0,387,111,0
0,341,78,0
0,511,125,0
2,360,59,0
12,392,75,0
0,487,103,0
0,435,171,0
0,315,78,0
9,274,41,0
0,487,177,0
0,410,78,0
0,516,128,0
20,308,76,0
0,524,131,0
4,408,127,0
0,376,68,0
0,512,129,0
0,386,70,0
0,373,76,0
