@relation 'qpid-weka.filters.unsupervised.attribute.Remove-V-R5,6,7,last'

@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
0,224,34,1000
0,149,5,365
0,155,5,1000
19,162,21,1
0,134,11,1000
0,213,14,1000
2,181,9,180
10,264,21,1000
0,155,6,1000
1,148,5,1000
5,295,33,365
27,276,54,365
160,282,26,365
0,298,30,90
0,368,9,1000
1,173,8,1000
0,203,10,1000
0,302,30,180
0,318,16,180
4,148,22,180
0,245,8,1000
6,192,32,1000
30,339,28,90
0,181,9,1000
2,286,19,180
9,295,34,90
1,38,1,1000
3,178,8,1000
0,185,1,1000
36,313,105,30
62,331,49,180
0,215,6,1000
0,161,1,1000
1,286,36,1
0,323,9,1000
5,335,8,90
1,116,6,1000
2,282,11,180
0,189,8,365
4,372,10,1000
0,217,13,1000
1,177,7,1000
0,91,25,1000
40,318,92,30
1,335,12,180
5,339,28,14
138,144,1,1000
61,282,13,180
86,286,29,7
3,207,6,1000
13,297,20,1000
1,295,13,90
1,337,10,1000
0,171,4,1000
0,73,1,1000
0,151,5,1000
0,270,6,1000
138,141,1,1000
0,329,9,1000
0,164,7,1000
141,179,20,1000
0,211,6,1000
2,313,32,180
0,91,4,1000
0,225,11,1000
0,107,2,1000
1,278,35,14
0,102,2,1000
1,218,16,1000
0,304,56,1
59,311,19,180
1,213,14,1000
3,303,7,1000
50,306,8,1000
0,300,20,1000
0,350,20,1000
0,205,7,1000
1,208,9,1000
0,187,2,1000
14,141,29,30
0,195,7,1000
3,367,11,7
0,60,1,365
1,285,23,1000
1,241,8,180
9,291,65,180
142,203,33,1000
2,174,2,1000
31,300,52,180
6,362,28,365
1,263,9,1
236,290,64,180
8,388,73,30
2,317,20,365
3,272,26,365
10,307,31,90
0,338,10,1000
0,372,8,1000
2,344,35,90
1,154,5,1000
0,269,10,180
0,215,4,1000
0,171,7,1
1,247,9,1000
1,137,37,1000
1,109,5,1000
0,245,9,180
0,174,0,1000
0,243,2,1000
0,296,32,1000
0,110,29,1000
0,163,6,1000
2,207,9,180
1,240,9,1000
83,265,18,30
1,152,1,1000
0,58,3,365
0,229,5,1000
0,295,16,365
14,302,47,1
4,314,33,1000
6,347,12,180
1,315,5,365
2,284,11,180
0,66,1,1000
1,81,3,1000
3,286,20,90
7,344,36,180
0,217,6,1000
1,319,7,90
4,147,25,180
0,85,1,1000
0,188,6,1000
0,297,20,1000
9,350,83,90
1,305,7,1000
0,227,17,365
0,179,8,1000
0,145,6,1000
0,200,8,1000
0,191,5,1000
0,179,4,1000
2,123,4,1000
2,97,29,1000
0,176,8,1000
1,360,23,180
0,182,1,1000
0,160,1,180
1,279,87,365
1,131,10,1000
0,188,30,1000
0,188,6,1000
0,357,90,30
0,301,30,180
0,217,7,1000
0,338,5,7
0,197,5,1000
0,246,20,1000
0,147,12,1000
1,185,4,90
59,317,14,180
16,314,27,90
1,241,9,180
0,196,5,1000
1,87,3,1
0,244,9,1000
0,226,9,180
236,287,66,180
1,299,29,30
0,323,39,7
0,199,7,1000
1,298,9,1000
3,266,14,90
0,209,9,1000
12,332,16,90
2,294,21,365
0,306,26,180
0,158,5,1
1,295,11,1000
1,343,10,1000
2,309,8,365
0,187,5,1000
2,329,9,1000
9,309,30,365
12,312,7,90
0,188,3,1000
0,160,5,7
0,172,7,180
2,105,4,1000
0,200,7,1000
0,296,17,365
5,313,43,90
170,280,84,365
62,361,102,180
1,259,13,30
0,295,32,1000
0,269,6,1000
0,213,15,1000
0,212,14,14
72,295,37,180
16,265,33,7
5,222,14,1000
1,212,13,1000
0,192,5,180
58,306,25,180
31,304,49,180
1,290,30,90
0,254,33,1000
1,208,7,1000
0,243,9,365
0,106,4,1000
1,300,7,1000
1,65,2,1000
126,322,84,30
0,194,7,1000
0,208,9,1000
5,353,11,90
0,342,28,1000
0,328,9,180
0,203,2,1000
12,98,26,1
1,348,12,1000
3,282,35,1000
0,174,4,1000
35,313,101,180
18,320,91,90
1,237,9,1000
0,322,5,365
1,289,31,30
0,80,1,365
5,196,3,1000
3,303,7,1000
0,223,5,1000
0,375,10,1000
2,346,13,180
3,304,7,1000
22,278,41,1000
2,315,15,1000
4,127,6,1000
3,232,9,180
6,295,39,1000
5,278,23,365
0,225,7,1000
0,193,8,1000
2,310,32,180
0,156,1,1000
0,280,23,1000
239,332,48,180
0,229,7,1000
0,82,1,90
2,220,14,1000
3,398,35,1
0,185,35,1000
0,161,1,1000
0,146,11,1000
0,183,1,1000
2,281,64,365
3,196,7,1000
6,191,32,90
0,137,28,180
0,276,40,1000
3,258,11,90
46,311,7,365
0,181,1,1000
1,219,9,1000
0,310,20,1000
1,323,7,90
0,169,34,1000
1,233,10,180
0,119,16,1000
3,279,10,180
18,111,29,1000
2,340,10,180
0,303,24,7
23,314,28,180
2,230,9,1000
0,208,2,1000
62,354,95,180
0,184,35,1000
0,195,6,1000
0,91,29,1000
3,329,5,1000
9,264,104,1000
0,282,13,1000
1,155,4,1000
7,93,29,1000
0,228,2,1000
5,307,31,1
18,297,33,1
0,149,10,1000
0,164,7,1000
0,164,6,1000
2,140,2,1000
2,199,7,1000
1,92,6,1000
0,196,7,365
1,162,6,1000
8,321,38,180
50,307,8,1000
0,236,7,1000
36,303,8,180
12,291,37,180
5,335,9,90
6,257,13,1000
0,230,7,180
0,269,20,365
0,245,8,1000
2,207,10,1000
0,311,6,1000
16,293,33,90
5,309,97,90
0,21,1,1000
0,341,13,180
16,296,33,90
0,370,9,1000
1,299,27,14
2,333,15,1000
0,147,11,1000
0,325,19,1000
0,295,36,1000
0,229,7,1000
1,286,15,365
5,340,75,1000
0,180,34,1000
0,268,9,365
126,322,83,30
7,328,49,7
0,186,5,1000
0,90,25,1000
1,157,6,1000
0,150,22,180
2,281,14,90
3,319,14,1000
0,225,13,1000
2,293,10,180
2,148,5,1000
0,150,9,1000
2,173,2,1000
0,189,4,1000
14,294,33,1000
141,171,21,1000
0,122,10,1000
4,281,38,1000
0,163,1,1000
0,181,7,1000
1,213,4,1000
104,273,44,180
62,347,84,180
239,330,49,180
10,281,54,180
4,314,37,1000
14,304,23,1000
0,155,1,1000
5,293,20,365
0,411,34,7
0,92,14,1000
0,209,7,1000
0,348,13,365
51,292,65,180
2,106,4,1000
0,157,5,1000
0,127,10,1000
0,226,14,1000
1,342,18,180
0,69,2,1000
0,257,9,1000
0,231,9,1000
0,213,4,1000
0,244,8,1000
0,216,13,1000
5,295,20,180
0,270,14,365
13,336,36,180
1,199,3,1000
0,164,10,1000
1,230,14,1000
183,309,8,365
0,97,6,1000
3,193,4,1000
0,95,26,1000
12,115,29,180
0,349,13,180
0,295,8,1000
0,179,4,1000
3,316,17,1000
33,171,17,1000
4,176,8,1000
0,221,17,365
36,303,8,180
1,106,18,1000
1,280,21,180
6,95,15,1
15,303,49,180
7,303,32,180
0,200,8,1000
0,229,5,1000
11,169,23,7
30,275,15,180
3,278,10,365
2,302,11,180
0,309,31,180
8,330,45,180
10,282,38,30
0,144,37,1000
0,150,1,1000
0,229,7,1000
0,191,4,1
0,181,9,1000
3,276,15,1000
12,127,28,180
0,286,23,1000
12,290,21,1000
17,302,87,90
18,259,53,1000
0,336,12,90
2,222,17,1000
0,226,8,1000
0,104,2,365
0,248,14,1000
0,279,15,365
0,294,28,180
54,355,93,180
0,202,6,1000
0,354,29,1000
14,299,26,1000
0,334,10,1000
1,195,2,1000
5,335,9,90
0,214,6,90
0,359,26,1000
10,283,23,90
0,245,9,1000
0,334,16,90
8,333,36,180
0,155,13,1000
1,303,16,180
46,328,16,365
0,201,2,1000
63,270,19,7
0,175,9,1000
141,167,15,1000
0,172,7,1000
0,323,20,1000
5,305,46,30
27,315,100,90
0,205,10,1000
2,358,13,180
0,259,11,90
0,210,2,1000
62,324,54,180
6,243,13,1000
0,300,30,1000
6,259,13,365
0,162,10,1000
0,365,26,1000
0,108,5,1000
0,187,1,1
6,270,13,1000
9,329,55,7
1,364,26,1000
0,176,9,1000
2,264,10,1000
0,263,27,1
1,313,55,30
2,257,32,1000
0,368,10,365
50,302,8,180
0,374,8,365
3,152,10,1000
3,207,3,1000
0,349,11,1000
1,356,11,90
8,282,23,90
29,328,85,30
0,176,9,1000
0,112,2,365
1,355,13,1000
0,184,7,1000
0,192,1,1000
1,328,9,180
0,199,8,1000
0,318,9,1000
0,305,15,180
0,175,0,1000
0,103,4,1000
0,201,2,1000
1,269,13,1000
1,95,6,1000
2,247,35,1000
0,228,5,1000
0,217,16,1000
0,346,17,365
0,95,6,1000
3,325,16,1
10,250,20,365
1,93,6,1000
1,295,18,180
3,275,10,1000
0,343,18,90
13,144,29,180
30,288,51,365
0,194,12,180
3,126,5,1
0,286,33,90
0,195,32,1000
1,300,16,365
1,279,18,180
62,298,23,180
3,340,15,90
0,298,20,180
1,159,1,1000
0,178,1,1000
6,257,13,1000
0,372,9,1000
0,234,13,1000
31,277,16,180
31,277,16,180
4,300,50,180
0,268,19,365
9,304,32,365
1,87,3,1000
1,302,23,180
0,153,6,1000
3,240,9,180
9,330,27,365
1,218,16,1000
3,150,8,1000
10,356,128,1000
2,170,8,1000
2,205,8,1000
0,300,26,180
0,195,7,1000
0,175,7,180
0,300,26,90
0,372,26,1
6,255,13,1000
1,224,11,180
1,280,39,1000
2,191,11,90
0,219,7,1000
16,335,34,90
6,356,12,1
1,362,103,1000
64,348,120,180
2,197,7,1000
22,315,40,180
64,349,113,180
1,192,2,1000
0,369,10,365
0,179,1,1000
0,155,6,1000
1,312,5,90
2,227,11,1000
3,373,23,1000
2,345,10,90
0,109,10,30
0,198,6,1000
15,102,29,1000
10,309,33,30
11,96,28,1000
0,197,6,1000
0,218,33,1
0,284,13,1
0,242,18,1000
5,291,31,90
59,296,20,180
0,190,1,1000
6,291,31,90
0,201,8,1000
0,2,0,1000
0,327,20,1000
0,294,28,180
0,298,10,1000
6,295,30,1000
0,193,5,1000
2,236,9,90
4,366,9,1000
0,246,8,1000
4,357,10,365
0,191,3,1000
0,202,1,1000
1,153,4,30
0,104,2,1000
1,345,9,90
62,321,53,180
0,243,8,1000
1,270,48,1000
6,120,10,1000
0,287,59,365
0,210,32,30
1,185,4,1000
1,357,102,1000
1,281,23,90
0,188,1,1000
5,332,10,90
1,169,4,1000
0,242,20,1000
0,96,2,365
20,328,93,7
7,296,29,7
0,175,0,1000
22,280,37,1000
0,58,1,1000
10,317,36,180
0,94,2,1000
6,134,6,1000
27,372,91,7
13,296,51,180
0,199,7,1000
0,358,89,90
0,189,5,1000
0,270,23,365
11,337,89,90
2,282,11,180
2,269,14,90
1,156,2,1000
36,299,8,180
13,145,29,180
0,156,2,1000
0,165,1,1000
29,348,83,365
1,314,21,180
3,286,23,7
0,322,15,1000
1,260,21,365
3,297,16,365
1,334,36,180
1,307,16,180
6,365,28,365
0,323,53,365
0,215,6,1000
0,269,5,1000
1,166,7,1000
7,96,16,1000
0,195,8,1000
2,107,20,1000
0,269,14,365
0,249,19,1000
4,367,10,1000
2,292,13,1000
7,209,6,1000
1,334,11,180
6,295,20,180
1,293,16,365
0,209,6,1000
0,96,4,1000
6,361,28,365
16,309,28,90
2,157,7,180
0,219,5,1000
59,313,19,180
0,241,18,1000
53,313,57,1000
1,197,6,7
0,333,10,180
7,187,7,1000
0,174,1,1000
0,224,13,1000
1,94,6,1000
0,199,2,1000
0,13,0,1000
0,299,10,1000
2,296,27,90
0,186,6,1000
0,151,6,1000
13,284,23,14
1,176,7,1000
12,98,26,180
8,292,64,180
1,239,17,1000
3,194,11,1000
3,303,11,180
0,201,7,1000
14,283,32,1000
6,287,31,180
0,294,19,7
1,154,6,1000
0,287,21,1000
6,180,5,1000
3,311,5,1000
0,246,8,7
15,259,51,1000
0,240,7,180
3,255,20,365
3,354,13,1000
5,348,86,90
0,192,4,1000
2,252,13,1000
0,264,13,14
2,211,9,180
0,293,12,1000
0,82,1,180
5,307,16,14
4,345,19,1
0,186,31,1000
0,211,2,1000
0,103,2,1000
0,226,5,1000
1,171,7,1000
0,22,1,1000
0,165,10,1000
1,208,8,1000
1,214,7,180
30,274,15,180
3,291,13,90
1,360,23,365
12,308,20,1000
0,99,5,1000
16,307,29,90
1,187,5,1000
1,235,8,180
0,227,14,1000
0,37,1,1000
2,126,4,1000
61,275,16,180
18,94,26,1
0,222,11,180
0,348,20,180
0,114,2,1000
0,95,4,180
0,172,1,1000
1,267,13,90
0,292,20,1000
1,153,1,1000
0,148,1,1000
1,149,2,1000
1,190,6,1000
1,287,21,1000
134,260,55,1000
9,351,113,1
0,155,10,1000
2,350,80,1
0,196,1,1000
1,288,20,90
0,89,25,1000
1,304,18,365
1,251,9,90
0,114,3,1000
22,181,32,7
0,107,4,1000
17,330,85,30
0,300,10,180
0,280,22,365
30,306,8,90
14,306,29,90
1,116,3,1000
8,291,64,180
183,311,5,365
0,337,5,1000
11,172,21,1000
0,339,9,90
0,72,1,1000
2,188,8,1000
1,207,7,1000
1,79,3,1000
28,324,81,30
2,101,5,1000
0,60,3,1000
1,200,3,1000
0,371,26,1000
2,308,26,180
0,285,22,180
0,316,81,14
3,334,34,180
0,270,6,1000
0,155,5,1000
59,321,16,365
0,165,5,1000
3,411,36,7
8,296,64,180
0,214,6,1000
1,144,7,1000
1,218,14,180
14,182,33,1
0,209,4,1000
0,18,1,1000
0,179,30,1000
14,185,34,7
42,338,91,30
6,220,13,1000
0,353,20,90
33,150,8,1000
0,190,4,1
12,367,28,14
1,285,12,1000
0,110,2,1000
2,283,23,180
0,199,7,1000
55,358,113,180
0,221,2,1000
0,295,7,1
6,356,28,30
5,213,4,1000
1,320,53,180
1,239,8,1000
51,328,52,180
0,151,8,1000
1,355,11,365
1,148,37,1000
0,277,54,365
1,160,6,1000
10,349,56,7
13,357,102,180
0,110,2,1000
0,181,7,1000
45,307,8,1000
138,139,1,1000
46,307,6,1000
1,149,5,1000
7,179,6,1000
0,172,5,1000
11,354,100,1
6,313,18,365
1,229,17,1000
59,299,20,180
11,299,40,1
1,238,9,1000
2,335,12,180
28,276,78,365
5,227,11,180
0,97,6,1000
0,197,2,1000
1,150,2,1000
4,295,24,180
0,207,7,1000
30,296,31,365
0,252,19,365
0,355,13,180
0,178,7,1000
4,276,98,365
0,179,4,14
71,282,28,90
1,257,31,7
45,302,8,1000
10,337,56,7
13,345,84,180
0,196,7,1000
0,294,31,365
5,294,20,180
31,322,27,90
1,350,12,1000
0,184,1,1000
1,214,4,1000
0,92,29,1000
6,146,13,1000
1,295,16,365
46,332,16,365
11,357,102,7
3,257,18,365
42,320,84,14
4,282,26,365
18,301,34,90
1,281,35,1000
1,284,11,90
0,153,5,1000
0,257,8,1000
67,269,19,7
54,364,113,1000
2,218,9,180
0,173,34,365
12,324,83,14
12,343,35,1000
0,153,5,1000
8,292,31,365
1,267,11,1000
30,286,33,90
22,317,34,180
0,276,20,365
0,94,6,1000
15,338,16,365
0,170,9,1
0,221,5,1000
55,360,112,180
0,200,10,1000
0,231,2,1000
0,333,10,180
0,163,1,1000
1,320,19,1000
0,319,16,14
0,277,77,1
2,215,7,1000
10,296,51,1
0,205,2,1000
0,148,6,1000
0,311,27,1000
37,319,82,1
2,339,19,365
30,286,31,90
0,298,34,1000
31,318,38,180
31,287,51,1000
1,339,15,1000
58,308,25,180
0,140,33,1000
0,317,18,1
61,299,73,180
0,193,6,1000
0,141,32,30
0,230,5,1000
0,338,11,1000
2,283,7,1000
1,184,2,1000
0,187,6,1000
1,360,13,180
239,324,43,180
30,305,43,90
0,95,8,1000
6,215,14,1000
0,228,17,365
2,173,7,1000
0,259,31,7
0,264,6,1000
4,226,14,1000
3,197,3,1000
92,301,58,180
1,283,22,180
0,196,2,1000
10,256,19,365
0,213,4,1000
9,285,22,90
0,277,88,180
15,110,29,365
0,298,23,180
0,363,11,365
0,189,5,1000
4,179,1,1000
0,97,5,1000
5,342,10,365
0,174,34,1000
0,232,9,1000
1,322,14,365
3,211,15,1000
0,62,1,1000
0,299,9,1000
31,323,27,90
0,187,5,1000
0,281,23,90
0,153,1,1000
0,177,8,1000
9,310,27,365
1,323,5,90
1,309,32,180
15,277,32,90
9,277,14,180
1,237,8,1000
141,258,51,1000
7,94,16,1
0,202,7,1000
12,338,35,365
0,104,5,1000
0,181,1,1000
0,121,6,1000
1,265,36,1000
0,311,9,1000
0,297,8,1000
0,184,9,1000
0,205,32,90
2,201,5,30
12,309,19,180
2,309,26,180
0,197,7,1000
0,189,4,365
0,194,7,1000
1,186,4,90
0,273,16,1000
1,278,27,14
0,217,9,1000
3,296,37,365
17,193,32,7
13,302,41,180
1,173,7,1000
1,287,15,365
33,147,3,1000
0,226,14,1000
4,103,12,1000
0,268,11,7
1,281,20,365
12,331,45,180
72,296,30,90
61,298,76,180
1,219,9,180
31,330,27,90
1,285,23,90
1,297,26,180
3,179,7,1000
54,353,101,1000
0,152,1,1000
1,351,11,365
10,355,102,7
3,257,10,90
2,264,37,365
40,331,93,30
0,168,6,1000
0,188,6,1000
0,164,10,1000
5,194,7,1000
0,284,19,1000
1,336,11,1000
0,222,7,1000
0,74,2,1000
6,307,29,90
1,164,34,1000
0,243,9,1000
1,297,21,1000
1,152,5,1000
3,160,10,1000
25,362,133,180
31,327,27,180
195,298,8,180
0,204,7,90
139,281,88,1
2,169,5,1000
2,210,9,7
0,76,1,1000
0,260,13,365
0,322,9,1000
0,197,5,1000
0,155,15,180
0,119,2,365
3,397,35,7
0,189,2,1000
0,205,1,1000
6,132,8,90
0,187,7,1000
1,210,11,1000
64,353,114,180
0,172,9,1000
6,338,28,90
9,277,17,1000
0,195,4,1000
15,272,44,365
10,281,38,1000
0,220,7,1000
4,147,22,180
1,182,9,1000
9,331,28,365
14,352,123,180
0,218,14,1000
3,301,35,90
0,360,26,1000
22,287,37,1000
1,282,19,180
6,270,12,1000
0,191,5,1000
0,162,1,1000
1,221,9,1000
0,146,7,1000
0,245,8,1000
0,190,5,1000
2,254,7,7
0,325,20,365
0,293,37,180
0,258,11,90
0,189,8,1000
61,294,67,180
1,219,6,90
0,157,7,1000
0,303,27,180
45,306,8,1000
2,104,17,1
1,229,14,1000
6,279,92,365
2,132,28,1000
0,191,3,1000
0,318,20,7
0,218,5,1000
30,304,29,90
6,353,88,30
1,295,10,1000
4,288,11,180
6,300,40,180
236,315,53,180
1,80,3,1000
1,207,3,14
35,178,22,1000
0,6,0,1000
0,158,1,365
0,128,10,1000
10,293,49,180
5,214,13,1000
0,183,4,1000
0,299,11,1000
0,357,11,365
138,150,1,1000
30,303,8,90
1,233,7,1000
1,205,8,1000
1,97,6,1000
1,298,10,14
61,273,16,180
1,194,11,7
0,250,9,365
0,197,7,1000
0,183,9,1000
0,318,20,1000
54,360,104,180
12,279,23,365
0,242,5,1000
0,134,7,1000
1,334,9,1000
3,184,8,1000
0,171,8,180
1,218,13,1000
2,103,17,1000
4,223,14,1000
1,314,91,1
1,279,7,365
0,373,8,1000
1,154,2,1000
0,259,8,1000
2,192,5,90
7,285,55,1000
0,158,7,1000
0,167,7,1000
0,170,4,30
0,197,6,1000
6,200,32,1000
1,303,30,1000
1,298,29,1000
0,299,31,180
0,83,1,365
1,154,5,180
3,159,21,14
0,237,17,1000
0,219,7,1000
0,220,5,1000
0,337,16,90
3,189,4,1000
2,191,6,1000
5,193,6,1000
31,338,28,365
0,241,9,1000
5,290,31,1000
0,197,6,1000
11,296,50,365
7,85,25,1
0,193,2,1000
2,307,31,180
2,288,16,365
2,140,2,1000
1,173,1,1000
0,124,10,7
1,142,2,1000
0,204,2,1000
1,334,10,1000
0,327,8,1000
11,333,91,90
0,200,6,1000
3,202,9,1000
63,353,124,180
0,266,34,1000
0,183,7,1000
0,161,6,1000
6,159,14,1000
15,284,51,180
2,361,91,30
0,366,26,1000
1,187,7,1000
0,191,2,90
17,137,36,1
6,373,10,365
1,247,2,1000
0,133,8,1000
0,239,2,1000
0,277,20,365
0,289,21,1000
0,245,2,1000
1,269,48,1000
14,291,33,1000
0,188,2,7
0,347,35,1
1,195,2,1000
195,298,8,180
0,193,9,1000
1,357,13,180
0,294,17,180
0,240,8,1000
3,296,11,180
6,350,27,30
1,353,11,1000
17,291,37,1000
0,353,93,180
2,279,7,1000
0,176,7,1000
30,303,8,90
0,203,8,365
0,142,37,1000
1,192,8,1000
0,238,5,1000
0,86,1,180
6,211,6,7
31,325,27,365
0,292,13,365
0,107,2,1000
0,174,8,1000
19,171,19,90
17,292,32,1
3,299,37,180
0,80,1,90
2,199,8,1000
0,181,9,1000
67,269,19,7
0,263,6,1000
7,169,7,1000
1,296,17,180
0,92,8,90
1,188,4,1000
0,288,29,90
0,213,7,14
9,304,63,180
2,235,9,90
6,297,33,1000
0,186,7,180
0,176,7,1000
7,164,7,1000
3,212,4,1000
8,300,24,90
0,231,17,365
0,220,9,365
2,296,26,30
1,156,7,30
15,310,30,14
6,209,6,1000
0,228,13,1000
0,295,11,180
58,310,28,180
2,223,8,1000
0,185,9,1000
3,158,7,1000
4,296,25,180
0,195,8,1000
0,217,13,365
58,309,28,180
0,249,35,1
19,85,27,14
0,168,9,1000
0,180,27,1
14,286,16,1000
0,213,6,1000
0,303,16,180
1,129,6,1000
0,351,13,1000
1,229,9,1000
31,352,29,365
0,218,16,1000
0,145,5,1000
2,347,13,1000
1,188,7,1000
0,280,38,1000
1,244,20,1000
6,296,29,365
0,221,6,1000
236,286,66,180
4,305,31,7
86,279,26,30
1,282,22,180
0,282,35,1000
6,223,13,1000
0,181,9,1000
0,292,20,90
15,282,51,180
5,317,16,180
62,322,53,180
6,215,14,1000
0,282,11,180
2,217,9,7
0,346,17,365
0,206,2,1000
1,293,11,1000
1,215,14,1000
2,339,12,1000
1,60,2,1000
5,339,10,1000
1,285,11,180
28,275,78,365
1,340,11,90
0,358,23,180
3,300,24,180
2,122,3,1000
0,295,28,180
6,116,12,90
2,100,5,1000
1,204,1,1000
0,167,33,7
61,274,18,7
0,329,11,1000
12,334,34,90
0,334,10,1000
0,137,1,90
0,158,10,1000
78,304,64,180
6,352,28,365
15,316,95,90
1,221,7,1000
0,254,14,1000
0,209,9,1000
2,400,34,30
2,268,13,90
1,149,12,1000
2,170,5,1000
1,165,6,1000
0,218,14,1000
1,154,4,1000
236,292,66,180
0,161,5,1000
0,178,4,1000
9,325,55,7
0,166,11,1000
3,286,37,180
0,92,25,1000
2,197,5,90
0,231,9,1000
1,295,16,365
0,296,11,365
6,300,11,365
3,354,28,1000
6,193,3,1000
73,318,34,180
4,230,9,1000
0,302,16,180
1,219,14,1000
2,107,5,1000
0,352,56,90
3,102,12,90
83,327,107,30
0,107,10,1000
17,338,36,90
2,194,7,1
0,301,10,1000
2,219,14,1000
0,74,1,1000
6,141,6,1000
2,229,14,1000
0,213,4,1000
0,318,34,180
1,186,2,1000
0,213,8,180
0,212,4,1000
10,251,20,365
6,179,4,1000
0,202,8,365
0,197,7,1000
1,344,11,365
13,357,103,180
2,336,11,180
0,27,1,1000
1,359,27,1000
5,189,6,1000
4,187,1,1000
3,265,36,1000
1,216,4,1000
0,286,11,180
27,328,114,14
0,145,6,1000
0,163,6,180
0,240,5,1000
2,219,9,1000
1,252,8,90
8,282,36,180
0,179,8,1000
0,151,5,1000
0,173,8,1000
141,168,17,1000
0,251,9,365
1,191,5,1000
2,305,8,1000
0,214,16,1000
0,156,8,1000
0,297,51,7
12,301,30,1000
8,323,43,1000
1,173,8,1000
0,198,5,90
183,304,6,30
2,154,15,1000
1,301,64,180
0,177,29,1000
1,288,51,1000
12,310,19,180
11,297,50,7
0,208,32,1000
1,291,16,365
19,333,34,180
31,328,27,90
13,297,20,365
3,362,26,180
4,354,10,1000
0,187,5,1000
2,251,8,7
6,310,28,90
42,320,83,14
3,302,23,1000
1,103,29,180
1,302,17,180
0,219,7,1000
0,199,8,1000
0,185,4,1000
1,159,1,1000
0,364,103,1000
1,261,4,1000
30,273,15,180
0,332,12,1000
0,211,7,1000
0,362,11,1000
0,211,4,1000
17,329,35,180
1,304,8,1000
183,305,6,365
1,193,5,180
1,173,1,1000
2,304,7,90
2,141,2,1000
16,306,29,90
2,197,8,1000
12,332,34,1000
7,171,7,1000
2,91,14,1000
0,149,22,180
1,150,5,1000
9,286,37,30
5,309,27,1000
141,231,42,1000
0,173,7,1000
0,211,4,7
0,172,34,365
81,315,92,30
4,309,32,7
1,96,6,365
0,338,15,365
62,315,35,180
1,226,7,1000
0,232,10,180
0,284,56,1000
0,180,7,1000
62,343,75,180
1,312,57,180
12,285,22,1000
2,197,7,365
0,301,6,365
0,136,1,1000
61,302,80,180
9,353,85,90
7,248,20,1000
0,304,11,180
6,348,56,7
3,296,37,180
0,233,7,1000
0,333,20,1000
12,285,23,1000
1,280,38,1000
0,171,34,1000
31,298,53,365
0,77,1,180
2,221,17,14
5,324,55,1000
13,319,82,1
1,181,9,1000
0,227,9,180
2,111,3,1000
6,324,16,90
239,325,40,180
0,315,19,1
0,159,1,1000
1,305,16,180
126,333,93,1
2,113,29,1000
0,84,6,365
1,170,7,1000
2,215,14,1000
0,315,9,1000
0,83,6,1000
0,121,3,365
1,221,14,1000
0,218,6,1000
0,218,8,180
0,225,17,365
2,282,35,1000
30,329,27,365
0,205,8,1000
1,185,4,1000
3,155,14,365
10,347,56,7
6,222,13,1000
1,282,38,30
6,337,16,90
2,193,5,90
2,289,51,1000
0,268,18,365
2,105,4,1000
0,303,9,180
0,330,12,365
54,363,133,180
0,193,1,1000
30,298,29,90
0,299,20,1000
0,200,3,1000
39,316,106,90
0,185,4,1000
1,340,15,1
2,334,34,180
2,326,20,365
0,178,8,1000
63,268,18,1
17,313,100,90
0,179,1,1000
3,300,24,180
0,286,12,180
1,190,2,1000
10,316,43,1
0,335,11,1000
58,312,31,180
0,205,10,365
6,353,27,365
1,322,19,1000
1,217,14,1000
0,57,1,1000
1,199,6,1
0,322,54,90
0,50,1,1000
0,85,1,180
0,229,10,1000
30,275,30,90
12,297,39,1
0,226,17,365
3,180,6,1000
0,249,19,1000
0,202,2,1000
0,206,3,1000
1,335,9,90
1,197,10,1000
0,356,89,1
6,158,14,1000
0,59,3,1000
0,331,8,1000
0,158,6,1000
0,221,14,1000
0,217,16,1000
0,256,13,1000
1,353,13,1000
14,281,65,1
2,106,4,1000
0,186,1,1000
0,286,13,1
15,316,18,365
0,151,6,1000
0,102,2,1000
9,319,30,90
1,192,8,1000
2,288,30,90
0,196,6,1000
0,246,2,1000
0,210,7,1000
1,344,35,1000
12,118,29,180
0,204,1,1
3,303,28,1
0,246,8,1000
2,280,78,365
15,297,20,180
0,250,20,365
0,330,9,180
0,267,19,30
12,331,15,365
51,327,39,180
0,153,5,1000
0,309,26,180
2,271,14,365
3,285,37,180
0,261,13,1000
0,254,4,1000
0,211,6,1000
1,301,30,1000
2,294,10,180
0,314,21,180
0,181,1,1000
2,197,6,1000
0,202,7,1000
4,189,1,1000
12,266,18,90
0,118,10,1000
130,275,92,7
2,341,35,7
0,197,2,1000
2,368,24,1000
0,245,9,1000
42,337,88,30
2,272,49,365
3,296,39,180
1,299,23,365
1,199,6,1000
0,58,3,1000
2,323,19,1000
6,188,33,1000
0,316,18,180
31,343,28,30
7,146,8,1000
1,283,23,1000
2,291,13,180
1,231,8,1000
1,137,1,1000
0,347,117,180
0,220,14,1000
0,196,32,1000
0,150,1,1000
0,217,7,1000
0,330,8,180
0,189,3,1000
0,301,58,1
21,315,6,1000
2,247,48,1000
0,79,1,90
4,315,80,90
0,199,6,1000
22,352,94,180
13,285,29,30
0,154,21,1000
0,294,20,1000
0,149,1,1000
21,297,8,1000
4,310,8,90
29,353,94,180
0,335,12,1000
0,196,3,1000
2,289,19,365
3,305,31,180
